paragraphId,chapterTitle,subChapterTitle,content,,dataType
20,Disclosure Requirement E5-2 - Actions and resources related to resource use and circular economy,,"In addition to ESRS 2 MDR-A, the undertaking may specify whether and how an action and resources cover:\n (a) higher levels of resource efficiency in use of technical and biological materials and water, particularly in relation to critical raw materials and rare earths as listed in the Raw Materials Information System;\n (b) higher rates of use of secondary raw materials (recyclates);\n (c) application of circular design, leading to increased product durability and optimisation of use, and higher rates of: Reuse, Repair, Refurbishing, Remanufacture, Repurposing and Recycling.\n (d) application of circular business practices such as (i) value retention actions (maintenance, repair, refurbishing, remanufacturing, component harvesting, upgrading and reverse logistics, closed loop systems, second-hand retailing), (ii) value maximisation actions (product-service systems, collaborative and sharing economy business models), (iii) end-of-life actions (recycling, upcycling, extended producer responsibility), and (iv) systems efficiency actions (industrial symbiosis);\n (e) actions taken to prevent waste generation in the undertaking’s upstream and downstream value chain; and\n (f) optimistation of waste management in line with the waste hierarchy.",,narrative
AR11,Disclosure Requirement E5-2 - Actions and resources related to resource use and circular economy,Application Requirements,"When providing information under paragraph 17 and considering that resources are shared and that circular economy strategies may require collective actions, the undertaking may specify the actions taken to engage with its upstream and downstream value chain and/or its local network on the development of collaborations or initiatives increasing the circularity of products and materials.",,narrative
AR12,Disclosure Requirement E5-2 - Actions and resources related to resource use and circular economy,Application Requirements,"In particular, the undertaking may specify the following:\n (a) how it contributes to circular economy, including for instance smart waste collection systems;\n (b) the other stakeholders involved in the collective actions: competitors, suppliers, retailers, customers, other business partners, local communities and authorities, government agencies;\n (c) a description of the organisation of the collaboration or initiative, including the specific contribution of the undertaking and the roles of the different stakeholders in the project.",,narrative
AR13,Disclosure Requirement E5-2 - Actions and resources related to resource use and circular economy,Application Requirements,The actions may cover the undertaking’s own operations and/or its upstream and downstream value chain.,,
21,Disclosure Requirement E5-3 - Targets related to resource use and circular economy,,The undertaking shall disclose the resource use and circular economy-related targets it has set.,,
22,Disclosure Requirement E5-3 - Targets related to resource use and circular economy,,"The objective of this Disclosure Requirement is to enable an understanding of the targets the undertaking has adopted to support its resource use and circular economy policy and to address its material impacts, risks and opportunities.",,
23,Disclosure Requirement E5-3 - Targets related to resource use and circular economy,,The description of the targets shall contain the information requirements defined in ESRS 2 MDR-T Tracking effectiveness of policies and actions through targets.,,MDR-T
24,Disclosure Requirement E5-3 - Targets related to resource use and circular economy,,"The disclosure required by paragraph 21 shall indicate whether and how the undertaking’s targets relate to resource inflows and resource outflows, including waste and products and materials, and, more specifically to:\n (a) the increase of circular product design (including for instance design for durability, dismantling, reparability, recyclability etc);\n (b) the increase of circular material use rate;\n (c) the minimisation of primary raw material;\n (d) sustainable sourcing and use (in line with the cascading principle) of renewable resources;\n (e) the waste management, including preparation for proper treatment; and (f) other matters related to resource use or circular economy.",,narrative
25,Disclosure Requirement E5-3 - Targets related to resource use and circular economy,,The undertaking shall specify to which layer of the waste hierarchy the target relates.,,semi-narrative
26,Disclosure Requirement E5-3 - Targets related to resource use and circular economy,,"In addition to ESRS 2 MDR-T, the undertaking may specify whether ecological thresholds and entity-specific allocations were taken into consideration when setting targets. If so, the undertaking may specify:\n (a) the ecological thresholds identified, and the methodology used to identify such thresholds;\n (b) whether or not the thresholds are entity-specific and if so, how they were determined; and\n (c) how responsibility for respecting identified ecological thresholds is allocated in the undertaking.",,narrative
27,Disclosure Requirement E5-3 - Targets related to resource use and circular economy,,"The undertaking shall specify as part of the contextual information, whether the targets it has set and presented are mandatory (required by legislation) or voluntary.",,semi-narrative
AR14,Disclosure Requirement E5-3 - Targets related to resource use and circular economy,Application Requirements,"If the undertaking refers to ecological thresholds to set targets, it may refer to the guidance provided by the Science-Based Targets Initiative for Nature (SBTN) in its interim guidance (Initial Guidance for Business, September 2020) or any other guidance with a scientifically acknowledged methodology that allows to set science-based targets by identifying ecological thresholds and, if applicable, organisation-specific allocations. Ecological thresholds can be local, national and/or global.",,
AR15,Disclosure Requirement E5-3 - Targets related to resource use and circular economy,Application Requirements,"When providing information on targets, the undertaking shall prioritise targets in absolute value.",,
AR16,Disclosure Requirement E5-3 - Targets related to resource use and circular economy,Application Requirements,"When providing information targets according to paragraph 24, the undertaking shall consider the production phase, the use phase, and the end of functional life of products and materials.",,
AR17,Disclosure Requirement E5-3 - Targets related to resource use and circular economy,Application Requirements,"When providing information on targets related to virgin renewable raw material under paragraph 24(c), the undertaking shall consider how those targets may impact biodiversity loss, also in light of ESRS E4",,
AR18,Disclosure Requirement E5-3 - Targets related to resource use and circular economy,Application Requirements,"The undertaking may disclose other targets under paragraph 24(f) including in relation to sustainable sourcing. If so, the undertaking shall explain the definition of sustainable sourcing it has adopted and how it relates to the objective set out in paragraph 22",,
AR19,Disclosure Requirement E5-3 - Targets related to resource use and circular economy,Application Requirements,The targets may cover the undertaking’s own operations and/or its upstream and downstream value chain.,,
AR20,Disclosure Requirement E5-3 - Targets related to resource use and circular economy,Application Requirements,"The undertaking may specify whether the target addresses shortcomings related to the Substantial Contribution criteria for Circular Economy as defined in the delegated acts adopted pursuant to Article 13(2) of Regulation (EU) 2020/852. Where the Do No Significant Harm (DNSH) criteria for Circular Economy as defined in delegated acts adopted pursuant to Article 10(3), Article 11(3), Article 12(2), Article 14(2), and Article 15(2) of Regulation (EU) 2020/852 are not met, the undertaking may specify whether the target addresses shortcomings related those DNSH criteria.",,
28,Disclosure Requirement E5-4 - Resource inflows,,"The undertaking shall disclose information on its resource inflows related to its material impacts, risks and opportunities",,
29,Disclosure Requirement E5-4 - Resource inflows,,The objective of this Disclosure Requirement is to enable an understanding of the resource use in the undertaking’s own operations and its upstream value chain.,,
30,Disclosure Requirement E5-4 - Resource inflows,,"The disclosure required by paragraph 28 shall include a description of its resource inflows where material: products (including packaging) and materials (specifying critical raw materials and rare earths), water and property, plant and equipment used in the undertaking’s own operations and along its upstream value chain.",,narrative
31,Disclosure Requirement E5-4 - Resource inflows,,"When an undertaking assesses that resource inflows is a material sustainability matter, it shall disclose the following information about the materials used to manufacture the undertaking’s products and services during the reporting period, in tonnes or kilogrammes:\n (a) the overall total weight of products and technical and biological materials used during the reporting period;\n (b) the percentage of biological materials (and biofuels used for non-energy purposes) used to manufacture the undertaking’s products and services (including packaging) that is sustainably sourced, with the information on the certification scheme used and on the application of the cascading principle; and\n (c) the weight in both absolute value and percentage, of secondary reused or recycled components, secondary intermediary products and secondary materials used to manufacture the undertaking’s products and services (including packaging).",,Mass
32,Disclosure Requirement E5-4 - Resource inflows,,"The undertaking shall provide information on the methodologies used to calculate the data. It shall specify whether the data is sourced from direct measurement or estimations, and disclose the key assumptions used.",,narrative
AR21,Disclosure Requirement E5-4 - Resource inflows,Application Requirements,"Resource inflows may cover the following categories: IT equipment, textiles, furniture, buildings, heavy machinery, mid-weight machinery, light machinery, heavy transport, midweight transport, light transport and warehousing equipment. With regard to materials, resource inflow indicators include raw materials, associated process materials, and semimanufactured goods or parts.",,
AR22,Disclosure Requirement E5-4 - Resource inflows,Application Requirements,"When the undertaking is subject to paragraph 31, it may also provide transparency on the materials that are sourced from by-products/waste stream (e.g., offcuts of a material that has not previously been in a product).",,narrative
AR23,Disclosure Requirement E5-4 - Resource inflows,Application Requirements,The denominator of the percentage indicator required under paragraphs 31(b) and 31(c) is the overall total weight of materials used during the reporting period.,,
AR24,Disclosure Requirement E5-4 - Resource inflows,Application Requirements,"The reported usage data are to reflect the material in its original state, and not to be presented with further data manipulation, such as reporting it as “dry weight”.",,
AR25,Disclosure Requirement E5-4 - Resource inflows,Application Requirements,"In cases where there is an overlap between categories of reused, recycled, the undertaking shall specify how double counting was avoided and the choices that were made.",,narrative
33,Disclosure Requirement E5-5 - Resource outflows,,"The undertaking shall disclose information on its resource outflows, including waste, related to its material impacts, risks and opportunities.",,
34,Disclosure Requirement E5-5 - Resource outflows,,"The objective of this Disclosure Requirement is to provide an understanding of:\n (a) how the undertaking contributes to the circular economy by i) designing products and materials in line with circular economy principles and ii) increasing or maximising the extent to which products, materials and waste processing are recirculated in practice after first use; and\n (b) the undertaking’s waste reduction and waste management strategy, the extent to which the undertaking knows how its pre-consumer waste is managed in its own activities.",,
35,Disclosure Requirement E5-5 - Resource outflows,,"The undertaking shall provide a description of the key products and materials that come out of the undertaking’s production process and that are designed along circular principles, including durability, reusability, repairability, disassembly, remanufacturing, refurbishment, recycling, recirculation by the biological cycle, or optimisation of the use of the product or material through other circular business models.",,narrative
36,Disclosure Requirement E5-5 - Resource outflows,,"Undertakings for which outflows are material shall disclose:\n (a) The expected durability of the products placed on the market by the undertaking, in relation to the industry average for each product group;\n (b) The reparability products, using an established rating system, where possible;\n (c) The rates of recyclable content in products and their packaging.",,Table/Percent
37,Disclosure Requirement E5-5 - Resource outflows,,"The undertaking shall disclose the following information on its total amount of waste from its own operations, in tonnes or kilogrammes:\n (a) the total amount of waste generated ;\n (b) the total amount by weight diverted from disposal, with a breakdown between hazardous waste and non-hazardous waste and a breakdown by the following recovery operation types:\n (bi) preparation for reuse;\n (bii) recycling; and\n (biii) other recovery operations.\n (c) the amount by weight directed to disposal by waste treatment type and the total amount summing all three types, with a breakdown between hazardous waste and non-hazardous waste. The waste treatment types to be disclosed are: i. incineration; ii. landfill; and iii. other disposal operations;\n (d) the total amount and percentage of non-recycled waste2 .",,Mass
38,Disclosure Requirement E5-5 - Resource outflows,,"When disclosing the composition of the waste, the undertaking shall specify:\n (a) the waste streams relevant to its sector or activities (e.g. tailings for the undertaking in the mining sector, electronic waste for the undertaking in the consumer electronics sector, or food waste for the undertaking in the agriculture or in the hospitality sector); and;\n (b) the materials that are present in the waste (e.g. biomass, metals, non-metallic minerals, plastics, textiles, critical raw materials and rare earths).",,narrative
39,Disclosure Requirement E5-5 - Resource outflows,,"The undertaking shall also disclose the total amount of hazardous waste and radioactive waste generated by the undertaking, where radioactive waste is defined in Article 3(7) of Council Directive 2011/70/Euratom3 .",,Mass
40,Disclosure Requirement E5-5 - Resource outflows,,The undertaking shall provide contextual information on the methodologies used to calculate the data and in particular the criteria and assumptions used to determine and classify products designed along circular principles under paragraph 35. It shall specify whether the data is sourced from direct measurement or estimations; and disclose the key assumptions used.,,narrative
AR26,Disclosure Requirement E5-5 - Resource outflows,Application Requirements,Products and materials information to be provided under paragraph 35 refers to all materials and products that come out of the undertaking’s production process and that a company puts on the market (including packaging).,,
AR27,Disclosure Requirement E5-5 - Resource outflows,Application Requirements,"When compiling the rate, the undertaking shall use as denominator the overall total weight of materials used during the reporting period.",,
AR28,Disclosure Requirement E5-5 - Resource outflows,Application Requirements,"The undertaking may disclose its engagement in product end-of-life waste management, for example through extended producer responsibility schemes or take-back schemes.",,narrative
AR29,Disclosure Requirement E5-5 - Resource outflows,Application Requirements,"Type of waste is to be understood as hazardous waste or non-hazardous waste. Some specific waste, such as radioactive waste, may also be presented as a separate type.",,
AR30,Disclosure Requirement E5-5 - Resource outflows,Application Requirements,"When considering the waste streams relevant to its sectors or activities, the undertaking may consider the list of waste descriptions from the European Waste Catalogue.",,
AR31,Disclosure Requirement E5-5 - Resource outflows,Application Requirements,Examples of other types of recovery operations under paragraph 37(b)iii may be found in Annex II of Directive 2008/98/EC (Waste Framework Directive).,,
AR32,Disclosure Requirement E5-5 - Resource outflows,Application Requirements,Examples of other types of disposal operations under paragraph 37(c)iii may be found in Annex I of Directive 2008/98/EC (Waste Framework Directive).,,
AR33,Disclosure Requirement E5-5 - Resource outflows,Application Requirements,"When providing contextual information under paragraph 40 the undertaking may:\n (a) explain the reasons for high weights of waste directed to disposal (e.g., local regulations that prohibit landfill of specific types of waste);\n (b) describe sector practices, sector standards, or external regulations that mandate a specific disposal operation; and\n (c) specify whether the data has been modelled or sourced from direct measurements, such as waste transfer notes from contracted waste collectors.",,
41,Disclosure Requirement E5-6 - Anticipated financial effects from material resource use and circular economy-related risks and opportunities,,The undertaking shall disclose the anticipated financial effects of material risks and opportunities arising from resource use and circular economy-related impacts.,,
42,Disclosure Requirement E5-6 - Anticipated financial effects from material resource use and circular economy-related risks and opportunities,,"The information required by paragraph 41 is in addition the information on current financial effects on the entity’s financial position, financial performance and cash flows for the reporting period required under ESRS 2 SBM-3 para 48 (d). The objective of this Disclosure Requirement is to provide an understanding of:\n (a) anticipated financial effects due to material risks arising from material resource use and circular economy-related impacts and dependencies and how these risks have or could reasonably be expected to have) a material influence on the undertaking’s financial position, financial performance performance, and cash flows over the short-, medium- and long-term; and\n (b) anticipated financial effects due to material opportunities related to resource use and circular economy.",,
43,Disclosure Requirement E5-6 - Anticipated financial effects from material resource use and circular economy-related risks and opportunities,,"The disclosure shall include:\n (a) a quantification of the anticipated financial effects in monetary terms before considering resource use and circular economy-related actions, or where not possible without undue cost or effort, qualitative information. For financial effects arising from material opportunities, a quantification is not required if it would result in disclosure that does not meet the qualitative characteristics of information (see ESRS 1 Appendix B Qualitative characteristics of information);\n (b) a description of the effects considered, the impacts and dependencies to which they relate and the time horizons in which they are likely to materialise;\n (c) the critical assumptions used to quantify the anticipated financial effects, as well as the sources and level of uncertainty of those assumptions.",,narrative
AR34,Disclosure Requirement E5-6 - Anticipated financial effects from material resource use and circular economy-related risks and opportunities,Application Requirements,"When providing information under paragraph 42(b), the undertaking may illustrate and describe how it intends to strengthen value retention.",,
AR35,Disclosure Requirement E5-6 - Anticipated financial effects from material resource use and circular economy-related risks and opportunities,Application Requirements,"The undertaking may include an assessment of its related products and services at risk over the short-, medium- and long-term, explaining how these are defined, how financial amounts are estimated, and which critical assumptions are made.",,narrative
AR36,Disclosure Requirement E5-6 - Anticipated financial effects from material resource use and circular economy-related risks and opportunities,Application Requirements,The quantification of the anticipated financial effects in monetary terms under paragraph 43(a) may be a range.,,
AR1,Appendix A: Application Requirements,"Disclosure requirement related to ESRS 2 IRO-1 - Description of the processes to identify and assess material resource use and circular economy-related impacts, risks and opportunities","When conducting a materiality assessment on environmental subtopics, the undertaking shall assess the materiality of resource use and circular economy in its own operations and its upstream and downstream value chain, and may consider the four phases below, also known as the LEAP approach:\n (a) Phase 1: locate where in the undertaking’s own operations and along its upstream and downstream value chain the interface with nature takes place;\n (b) Phase 2: evaluate the dependencies and impacts;\n (c) Phase 3: assess the material risks and opportunities;\n (d) Phase 4: prepare and report the results of the materiality assessment.",,
AR2,Appendix A: Application Requirements,"Disclosure requirement related to ESRS 2 IRO-1 - Description of the processes to identify and assess material resource use and circular economy-related impacts, risks and opportunities","With regard to ESRS E5, phases 1 and 2 rely mainly on the materiality assessments conducted under ESRS E1 (including energy consumption), ESRS E2 (pollution), ESRS E3 (marine resources, water consumption) and ESRS E4 (biodiversity, ecosystems, raw materials). Indeed, circular economy eventually aims at reducing the environmental impact of the use of products, materials and other resources, minimizing waste and the release of hazardous substances and hence at reducing impacts on nature. This application requirement focuses mainly on the third phase of this LEAP approach, while the fourth phase addresses the outcome of the process.",,
AR3,Appendix A: Application Requirements,"Disclosure requirement related to ESRS 2 IRO-1 - Description of the processes to identify and assess material resource use and circular economy-related impacts, risks and opportunities","The process to assess the materiality of impacts, dependencies, risks and opportunities shall consider the provisions in ESRS 2 IRO-1 Description of the processes to identify and assess material impacts, risks and opportunities and IRO-2 Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement.",,
AR4,Appendix A: Application Requirements,"Disclosure requirement related to ESRS 2 IRO-1 - Description of the processes to identify and assess material resource use and circular economy-related impacts, risks and opportunities","The sub-topics related to resource use and circular economy covered by the materiality assessment include:\n (a) resource inflows including the circularity of material resource inflows, considering resource use optimisation, intensity of materials and products and renewable and non-renewable resources;\n (b) resource outflows related to products and services; and\n (c) waste, including hazardous waste and non-hazardous waste management",,
