paragraphId,chapterTitle,subChapterTitle,content,dataType
33,Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,"When disclosing information on policies, actions and targets in relation to a sustainability matter that has been assessed to be material the undertaking shall include the information prescribed by all the Disclosure Requirements and datapoints in the topical and sector-specific ESRS related to that matter and in the corresponding Minimum Disclosure Requirement on policies actions and targets required under ESRS 2. If the undertaking cannot disclose the information prescribed by either the Disclosure Requirements and datapoints in the topical or sector-specific ESRS or the Minimum Disclosure Requirements in ESRS 2 on policies actions and targets because it has not adopted the respective policies implemented the respective actions or set the respective targets it shall disclose this to be the case and it may report a timeframe in which it aims to have these in place.",
34,Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,When disclosing information on metrics for a material sustainability matter according to the Metrics and Targets section of the relevant topical ESRS the undertaking:\n (a) shall include the information prescribed by a Disclosure Requirement if it assesses such information to be material; and\n (b) may omit the information prescribed by a datapoint of a Disclosure Requirement if it assesses such information to be not material and concludes that such information is not needed to meet the objective of the Disclosure Requirement.,
35,Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,If the undertaking omits the information prescribed by a datapoint that derives from other EU legislation listed in Appendix B of ESRS 2 it shall explicitly state that the information in question is “not material”.,
36,Double materiality as the basis for sustainability disclosures,3.2 Material matters and materiality of information,The undertaking shall establish how it applies criteria including appropriate thresholds to determine:\n (a) the information it discloses on metrics for a material sustainability matter according to the Metrics and Targets section of the relevant topical ESRS in accordance with paragraph 34; and (b) the information to be disclosed as entity-specific disclosures.,
37,Double materiality as the basis for sustainability disclosures,3.3 Double materiality,Double materiality has two dimensions namely: impact materiality and financial materiality. Unless specified otherwise the terms “material” and “materiality” are used throughout ESRS to refer to double materiality.,
38,Double materiality as the basis for sustainability disclosures,3.3 Double materiality,Impact materiality and financial materiality assessments are inter-related and the interdependencies between these two dimensions shall be considered. In general the starting point is the assessment of impacts although there may also be material risks and opportunities that are not related to the undertaking's impacts. A sustainability impact may be financially material from inception or become financially material when it could reasonably be expected to affect the undertaking's financial position financial performance cash flows its access to finance or cost of capital over the short- medium- or long-term. Impacts are captured by the impact materiality perspective irrespective of whether or not they are financially material.,
39,Double materiality as the basis for sustainability disclosures,3.3 Double materiality,"In identifying and assessing the impacts, risks and opportunities in the undertaking's value chain to determine their materiality the undertaking shall focus on areas where impacts risks and opportunities are deemed likely to arise based on the nature of the activities business relationships geographies or other factors concerned.",
40,Double materiality as the basis for sustainability disclosures,3.3 Double materiality,The undertaking shall consider how it is affected by its dependencies on the availability of natural human and social resources at appropriate prices and quality irrespective of its potential impacts on those resources.,
41,Double materiality as the basis for sustainability disclosures,3.3 Double materiality,"An undertaking's principal impacts, risks and opportunities are understood to be the same as the material impacts risks and opportunities identified under the double materiality principle and therefore reported on in its sustainability statement.",
42,Double materiality as the basis for sustainability disclosures,3.3 Double materiality,"The undertaking shall apply the criteria set under sections 3.4 and 3.5 in this Standard using appropriate quantitative and/or qualitative thresholds. Appropriate thresholds are necessary to determine which impacts, risks and opportunities are identified and addressed by the undertaking as material and to determine which sustainability matters are material for reporting purposes. Some existing standards and frameworks use the term ""most significant impacts” when referring to the threshold used to identify the impacts that are described in ESRS as ""material impacts.""",
43,Double materiality as the basis for sustainability disclosures,3.4 Impact materiality,A sustainability matter is material from an impact perspective when it pertains to the undertaking's material actual or potential positive or negative impacts on people or the environment over the short- medium- or long-term. Impacts include those connected with the undertaking's own operations and upstream and downstream value chain including through its products and services as well as through its business relationships. Business relationships include those in the undertaking's upstream and downstream value chain and are not limited to direct contractual relationships.,
44,Double materiality as the basis for sustainability disclosures,3.4 Impact materiality,In this context impacts on people or the environment include impacts in relation to environmental social and governance matters.,
45,Double materiality as the basis for sustainability disclosures,3.4 Impact materiality,The materiality assessment of a negative impact is informed by the due diligence process defined in the international instruments of the UN Guiding Principles on Business and Human Rights and the OECD Guidelines for Multinational Enterprises. For actual negative impacts materiality is based on the severity of the impact while for potential negative impacts it is based on the severity and likelihood of the impact. Severity is based on the following factors:\n (a) the scale;\n (b) scope; and\n (c) irremediable character of the impact. In the case of a potential negative human rights impact the severity of the impact takes precedence over its likelihood.,
46,Double materiality as the basis for sustainability disclosures,3.4 Impact materiality,For positive impacts materiality is based on:\n (a) the scale and scope of the impact for actual impacts; and (b) the scale scope and likelihood of the impact for potential impacts.,
47,Double materiality as the basis for sustainability disclosures,3.5 Financial materiality,The scope of financial materiality for sustainability reporting is an expansion of the scope of materiality used in the process of determining which information should be included in the undertaking's financial statements,
48,Double materiality as the basis for sustainability disclosures,3.5 Financial materiality,The financial materiality assessment corresponds to the identification of information that is considered material for primary users of general-purpose financial reports in making decisions relating to providing resources to the entity. In particular information is considered material for primary users of general-purpose financial reports if omitting misstating or obscuring that information could reasonably be expected to influence decisions that they make on the basis of the undertaking's sustainability statement.,
49,Double materiality as the basis for sustainability disclosures,3.5 Financial materiality,A sustainability matter is material from a financial perspective if it triggers or could reasonably be expected to trigger material financial effects on the undertaking. This is the case when a sustainability matter generates risks or opportunities that have a material influence or could reasonably be expected to have a material influence on the undertaking's development financial position financial performance cash flows access to finance or cost of capital over the short- medium- or long-term. Risks and opportunities may derive from past events or future events. The financial materiality of a sustainability matter is not constrained to matters that are within the control of the undertaking but includes information on material risks and opportunities attributable to business relationships beyond the scope of consolidation used in the preparation of financial statements.,
50,Double materiality as the basis for sustainability disclosures,3.5 Financial materiality,Dependencies on natural human and social resources can be sources of financial risks or opportunities. Dependencies may trigger effects in two possible ways:\n (a) they may influence the undertaking's ability to continue to use or obtain the resources needed in its business processes as well as the quality and pricing of those resources; and\n (b) they may affect the undertaking's ability to rely on relationships needed in its business processes on acceptable terms.,
51,Double materiality as the basis for sustainability disclosures,3.5 Financial materiality,The materiality of risks and opportunities is assessed based on a combination of the likelihood of occurrence and the potential magnitude of the financial effects.,
52,Double materiality as the basis for sustainability disclosures,3.6 Material impacts or risks arising from actions to address sustainability matters,The undertaking's materiality assessment may lead to the identification of situations in which its actions to address certain impacts or risks or to benefit from certain opportunities in relation to a sustainability matter might have material negative impacts or cause material risks in relation to one or more other sustainability matters. For example:\n (a) an action plan to decarbonise production that involves abandoning certain products might have material negative impacts on the undertaking's own workforce and result in material risks due to redundancy payments; or\n (b) an action plan of an automotive supplier to focus on the supply of e-vehicles might lead to stranded assets for the production of supply parts for conventional vehicles.,
53,Double materiality as the basis for sustainability disclosures,3.6 Material impacts or risks arising from actions to address sustainability matters,In such situations the undertaking shall:\n (a) disclose the existence of material negative impacts or material risks together with the actions that generate them with a cross-reference to the topic to which the impacts or risks relate; and\n (b) provide a description of how the material negative impacts or material risks are addressed under the topic to which they relate.,
54,Double materiality as the basis for sustainability disclosures,3.7 Level of disaggregation,"When needed for a proper understanding of its material impacts, risks and opportunities the undertaking shall disaggregate the reported information:\n (a) by country when there are significant variations of material impacts risks and opportunities across countries and when presenting the information at a higher level of aggregation would obscure material information about impacts risks or opportunities; or\n (b) by significant site or by significant asset when material impacts risks and opportunities are highly dependent on a specific location or asset.",
55,Double materiality as the basis for sustainability disclosures,3.7 Level of disaggregation,When defining the appropriate level of disaggregation for reporting the undertaking shall consider the disaggregation adopted in its materiality assessment. Depending on the undertaking's specific facts and circumstances a disaggregation by subsidiary may be necessary.,
56,Double materiality as the basis for sustainability disclosures,3.7 Level of disaggregation,Where data from different levels or multiple locations within a level is aggregated the undertaking shall ensure that this aggregation does not obscure the specificity and context necessary to interpret the information. The undertaking shall not aggregate material items that differ in nature.,
57,Double materiality as the basis for sustainability disclosures,3.7 Level of disaggregation,When the undertaking presents information disaggregated by sectors it shall adopt the ESRS sector classification to be specified in a delegated act adopted by the Commission pursuant to article 29b(1) third subparagraph point (ii) of Directive 2013/34/EU. When a topical or sectorspecific ESRS requires that a specific level of disaggregation is adopted in preparing a specific item of information the requirement in the topical or sector-specific ESRS shall prevail.,
AR6,Double materiality as the basis for sustainability disclosures,Double materiality,In addition to the categories of stakeholder listed in paragraph 22 common categories of stakeholders are: employees and other workers suppliers consumers customers endusers local communities and persons in vulnerable situations and public authorities including regulators supervisors and central banks.,
AR7,Double materiality as the basis for sustainability disclosures,Double materiality,Nature may be considered as a silent stakeholder. In this case ecological data and data on the conservation of species may support the undertaking's materiality assessment.,
AR8,Double materiality as the basis for sustainability disclosures,Double materiality,"Materiality assessment is informed by dialogue with affected stakeholders. The undertaking may engage with affected stakeholders or their representatives (such as employees or trade unions) along with users of sustainability reporting and other experts to provide inputs or feedback on its conclusions regarding its material impacts, risks and opportunities.",
AR9,Double materiality as the basis for sustainability disclosures,Assessment of impact materiality,In assessing impact materiality and determining the material matters to be reported the undertaking shall consider the following three steps:\n (a) understanding of the context in relation to its impacts including its activities business relationships and stakeholders;\n (b) identification of actual and potential impacts (both negative and positive) including through engaging with stakeholders and experts. In this step the undertaking may rely on scientific and analytical research on impacts on sustainability matters;\n (c) assessment of the materiality of its actual and potential impacts and determination of the material matters. In this step the undertaking shall adopt thresholds to determine which of the impacts will be covered in its sustainability statement.,
AR10,Double materiality as the basis for sustainability disclosures,Characteristics of severity,The severity is determined by the following factors:\n (a) scale: how grave the negative impact is or how beneficial the positive impact is for people or the environment;\n (b) scope: how widespread the negative or positive impacts are. In the case of environmental impacts the scope may be understood as the extent of environmental damage or a geographical perimeter. In the case of impacts on people the scope may be understood as the number of people adversely affected; and\n (c) irremediable character: whether and to what extent the negative impacts could be remediated i.e. restoring the environment or affected people to their prior state.,
AR11,Double materiality as the basis for sustainability disclosures,Characteristics of severity,Any of the three characteristics (scale scope and irremediable character) can make a negative impact severe. In the case of a potential negative human rights impact the severity of the impact takes precedence over its likelihood.,
AR12,Double materiality as the basis for sustainability disclosures,Impacts connected with the undertaking,As an illustration:\n (a) if the undertaking uses cobalt in its products that is mined using child labour the negative impact (i.e. child labour) is connected with the undertaking's products through the tiers of business relationships in its upstream value chain. These relationships include the smelter and minerals trader and the mining enterprise that uses child labour; and\n (b) if the undertaking provides financial loans to an enterprise for business activities that in breach of agreed standards result in the contamination of water and land surrounding the operations this negative impact is connected with the undertaking through its relationship with the enterprise it provides the loans to.,
AR13,Double materiality as the basis for sustainability disclosures,Assessment of financial materiality,The following are examples of how impacts and dependencies are sources of risks or opportunities:\n (a) when the undertaking's business model depends on a natural resource - for example water - it is likely to be affected by changes in the quality availability and pricing of that resource;\n (b) when the undertaking's activities result in negative impacts e.g. on local communities the activities could become subject to stricter government regulation and/or the impact could trigger consequences of a reputational nature. These might have negative effects on the undertaking's brand and higher recruitment costs might arise; and\n (c) when the undertaking's business partners face material sustainability-related risks the undertaking could be exposed to related consequences as well.,
AR14,Double materiality as the basis for sustainability disclosures,Assessment of financial materiality,The identification of risks and opportunities that affect or could reasonably be expected to affect the undertaking's financial position financial performance cash flows access to finance or cost of capital over the short- medium- or long-term is the starting point for financial materiality assessment. In this context the undertaking shall consider:\n (a) the existence of dependencies on natural and social resources as sources of financial effects (see paragraph 50);\n (b) their classification as sources of:\n (bi) risks (contributing to negative deviation in future expected cash inflows or increase in deviation in future expected cash outflows and/or negative deviation from an expected change in capitals not recognised in the financial statements); or\n (bii) opportunities (contributing to positive deviation in future expected cash inflows or decrease in deviation in future cash outflows and/or positive deviation from expected change in capitals not recognised in financial statements).,
AR15,Double materiality as the basis for sustainability disclosures,Assessment of financial materiality,Once the undertaking has identified its risks and opportunities it shall determine which of them are material for reporting. This shall be based on a combination of (i) the likelihood of occurrence and (ii) the potential magnitude of financial effects determined on the basis of appropriate thresholds. In this step it shall consider the contribution of those risks and opportunities to financial effects in the short- medium- and long-term based on:\n (a) scenarios/forecasts that are deemed likely to materialise; and\n (b) potential financial effects related to sustainability matters deriving either from situations with a below the “more likely than not” threshold or assets/liabilities not or not yet reflected in financial statements. This includes:\n (bi) potential situations that following the occurrence of future events may affect cash flow generation potential;\n (bii) capitals that are not recognised as assets from an accounting and financial reporting perspective but have a significant influence on financial performance such as natural intellectual (organisational) human social and relationship capitals; and\n (biii) possible future events that may have an influence on the evolution of such capitals.,
AR16,Double materiality as the basis for sustainability disclosures,Sustainability matters to be included in the materiality assessment,When performing its materiality assessment the undertaking shall consider the following list of sustainability matters covered in the topical ESRS. When as a result of the undertaking's materiality assessment (see ESRS 2 IRO-1) a given sustainability matter in this list is assessed to be material the undertaking shall report according to the corresponding Disclosure Requirements of the relevant topical ESRS. Using this list is not a substitute for the process of determining material matters. This list is a tool to support the undertaking's materiality assessment. The undertaking still needs to consider its own specific circumstances when determining its material matters. The undertaking where necessary also shall develop entityspecific disclosures on material impacts risks and opportunities not covered by ESRS as described in paragraph 11 of this Standard.,
58,Due diligence,4. Due diligence,"The outcome of the undertaking's sustainability due diligence process (referred to as “due diligence” in the international instruments mentioned below) informs the undertaking's assessment of its material impacts, risks and opportunities. ESRS do not impose any conduct requirements in relation to due diligence; nor do they extend or modify the role of the administrative management or supervisory bodies of the undertaking with regard to the conduct of due diligence.",
59,Due diligence,4. Due diligence,Due diligence is the process by which undertakings identify prevent mitigate and account for how they address the actual and potential negative impacts on the environment and people connected with their business. These include negative impacts connected with the undertaking's own operations and its upstream and downstream value chain including through its products or services as well as through its business relationships. Due diligence is an on-going practice that responds to and may trigger changes in the undertaking's strategy business model activities business relationships operating sourcing and selling contexts. This process is described in the international instruments of the UN Guiding Principles on Business and Human Rights and the OECD Guidelines for Multinational Enterprises.,
60,Due diligence,4. Due diligence,These international instruments identify a number of steps in the due diligence process including the identification and assessment of negative impacts connected with the undertaking's own operations and its upstream and downstream value chain including through its products or services as well as through its business relationships. Where the undertaking cannot address all impacts at once the due diligence process allows for action to be prioritised based on the severity and likelihood of the impacts. It is this aspect of the due diligence process that informs the assessment of material impacts (see section 3.4 of this Standard). The identification of material impacts also supports the identification of material sustainability risks and opportunities which are often a product of such impacts.,
61,Due diligence,4. Due diligence,"The core elements of due diligence are reflected directly in Disclosure Requirements set out in ESRS 2 and in the topical ESRS as illustrated below:\n (a) embedding due diligence in governance strategy and business model3 . This is addressed under:\n (ai) ESRS 2 GOV-2: Information provided to and sustainability matters addressed by the undertaking's administrative, management and supervisory bodies;\n (aii) ESRS 2 GOV-3: Integration of sustainability-related performance in incentive schemes; and\n (aiii) ESRS 2 SBM-3: Material impacts, risks and opportunities and their interaction with strategy and business model.\n (b) engaging with affected stakeholders4 . This is addressed under:\n (bi) ESRS 2 GOV-2;\n (bii) ESRS 2 SBM-2: Interests and views of stakeholders; iii. ESRS 2 IRO-1; iv. ESRS 2 MDR-P; and\n (biii) Topical ESRS: reflecting the different stages and purposes of stakeholder engagement throughout the due diligence process.\n (c) identifying and assessing negative impacts on people and the environment5 . This is addressed under\n (ci) ESRS 2 IRO-1 (including Application Requirements related to specific sustainability matters in the relevant ESRS); and\n (cii) ESRS 2 SBM-3;\n (d) taking action to address negative impacts on people and the environment6 . This is addressed under:\n (di) ESRS 2 MDR-A; and\n (dii) Topical ESRS: reflecting the range of actions including transition plans, through which impacts are addressed.\n (e) tracking the effectiveness of these efforts7 . This is addressed under:\n (ei) ESRS 2 MDR-M; ii. ESRS 2 MDR-T; and iii. Topical ESRS: regarding metrics and targets.",
62,Value chain,5.1 Reporting undertaking and value chain,The sustainability statement shall be for the same reporting undertaking as the financial statements. For example if the reporting undertaking is a parent company required to prepare consolidated financial statements the sustainability statement will be for the group. This requirement does not apply where the reporting undertaking is not required to draw-up financial statements or where the reporting undertaking is preparing consolidated sustainability reporting pursuant to Article 48i of Directive 2013/34/EU.,
63,Value chain,5.1 Reporting undertaking and value chain,"The information about the reporting undertaking provided in the sustainability statement shall be extended to include information on the material impacts, risks and opportunities connected with the undertaking through its direct and indirect business relationships in the upstream and/or downstream value chain (“value chain information”). In extending the information about the reporting undertaking the undertaking shall include material impacts risks and opportunities connected with its upstream and downstream value chain:\n (a) following the outcome of its due diligence process and of its materiality assessment; and\n (b) in accordance with any specific requirements related to the value chain in other ESRS.",
64,Value chain,5.1 Reporting undertaking and value chain,Paragraph 63 does not require information on each and every actor in the value chain but only the inclusion of material upstream and downstream value chain information. Different sustainability matters can be material in relation to different parts of the undertaking's upstream and downstream value chain. The information shall be extended to include value chain information only in relation to the parts of the value chain for which the matter is material.,
65,Value chain,5.1 Reporting undertaking and value chain,The undertaking shall include material value chain information when this is necessary to:\n (a) allow users of sustainability\n (b) produce a set of information that meets the qualitative characteristics of information (see Appendix B of this Standard).,
66,Value chain,5.1 Reporting undertaking and value chain,"When determining at which level within its own operations and its upstream and downstream value chain a material sustainability matter arises the undertaking shall use its assessment of impacts, risks and opportunities following the double materiality principle (see chapter 3 of this Standard).",
