paragraphId,chapterTitle,subChapterTitle,content,,dataType
AR3,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",Application Requirements,"The processes to assess the materiality of impacts, risks and opportunities shall consider the provisions in ESRS 2 IRO-1 Description of the processes to identify and assess material impacts, risks and opportunities, and IRO-2 Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement.",,
AR4,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",Application Requirements,"The sub-topics related to water and marine resources covered by the materiality assessment include:\n (a) water, which encompasses the consumption of surface water, groundwater, as well as withdrawals and discharges of water; and\n (b) marine resources, which encompasses the extraction and use of such resources and associated economic activities.",,
AR5,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",Application Requirements,"In phase 1, to locate where there are areas at water risk, and areas where there is an interface with marine resources that could lead to material impacts and dependencies in its own operations and along its upstream and downstream value chain, the undertaking may consider:\n (a) the locations of direct assets and operations and related upstream and downstream activities across the value chain;\n (b) the sites located in areas at water risk, including areas of high-water stress; and\n (c) the sectors or business units that are interfacing with water or marine resources in these priority locations.",,
AR6,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",Application Requirements,The undertaking shall consider river basins as the relevant level for assessment of locations and combine that approach with an operational risk assessment of its facilities and the facilities of suppliers with material impacts and risks.,,
AR7,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",Application Requirements,The undertaking shall consider the criteria for defining the status of water bodies according to the relevant Annexes of Directive 2000/60/EC (Water Framework Directive) as well as the guidance documents provided for implementation of the Water Framework Directive. The list of guidance documents can be accessed under the European Commission’s Environment home page.,,
AR8,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",Application Requirements,"In phase 2, to evaluate its impacts and dependencies for each priority location identified under AR 5, the undertaking may:\n (a) identify business processes and activities that lead to impacts and dependencies on environmental assets and ecosystem services;\n (b) identify water and marine resources-related impacts and dependencies across the undertaking’s value chain; and\n (c) assess the severity and likelihood of the positive and negative impacts on water and marine resources.",,
AR9,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",Application Requirements,"For the identification of water and marine resources-related dependencies, the undertaking may rely on international classifications such as the Common International Classification of Ecosystem Services (CICES).",,
AR10,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",Application Requirements,"When identifying its marine resources-related dependencies, the undertaking shall consider if it depends upon key marine resources-related commodities, including but not limited to gravels and seafood products.",,
AR11,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",Application Requirements,"Marine resources are defined according to their use by human societies and must be considered in relation to the pressure they are subject to. Some of the pressure indicators are presented in other ESRS, namely microplastics and emissions to water in ESRS E2 and plastic waste in ESRS E5",,
AR12,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",Application Requirements,"Examples of marine resources dependencies which may be considered by the undertaking are:\n (a) dependencies on commercially exploited fish and shellfish in its own operations and its upstream and downstream value chain; and\n (b) fishing activity that involves mobile bottom trawling, which can also have negative impacts on the seabed.",,
AR13,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",Application Requirements,"In Phase 3, to assess its material risks and opportunities based on the results of Phases 1 and 2, the undertaking may :\n (a) identify transition risks and opportunities in its own operations and its value chain by the categories of:\n (ai) policy and legal: e.g., introduction of regulation or policy (e.g., changes such as increased water protection, increased quality of water regulations, regulation of flows of water supply), ineffective governance of water bodies or marine resources, in particular across boundaries (e.g., transboundary governance and cooperation) resulting in water or oceans degradation, exposure to sanctions and litigation (e.g., non-respect of permits or allocations; negligence towards or killing of threatened marine species), enhanced reporting obligations on marine ecosystems and related services;\n (aii) technology: e.g., substitution of products or services by products or services with a lower impact on water and marine resources, transition to more efficient and cleaner technologies (i.e., with lower impacts on oceans and water), new monitoring technologies (e.g., satellite), water purification, flood protection;\n (aiii) market: e.g., shifting supply, demand and financing, volatility or increased costs of water or marine resources;\n (aiv) reputation: e.g., changing societal, customer or community perceptions as a result of an organisation’s impact on water and marine resources; and\n (av) contribution to systemic risks via its own operations and its upstream and downstream value chain, including the risks that a marine ecosystem collapses or the risks that a critical natural system no longer functions (e.g., tipping points are reached, summing physical risks);\n (b) identify physical risk including water quantity (water scarcity, water stress), water quality, infrastructure decay or unavailability of some marine resources-related commodities (e.g. the rarefaction of some species of fish or other underwater marine living organisms sold as products by the undertaking) leading for instance to the impossibility of running operations in certain geographical areas; (c) identify opportunities categorised by:\n (bi) resource efficiency: e.g., transition to more efficient services and processes requiring less water and marine resources;\n (bii) markets: e.g., development of less resource-intense products and services, diversification of business activities;\n (biii) financing: e.g., access to green funds, bonds or loans;\n (biv) resilience: e.g., diversification of marine or water resources and business activities (e.g., starting a new business unit on ecosystem restoration), investing in green infrastructures, nature-based solutions, adopting recycling and circularity mechanisms that reduce the dependencies on water or marine resources; and\n (bv) reputation: positive stakeholder engagement as a result of a proactive stance on managing nature-related risks (e.g., leading to preferred partner status)",,
AR14,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",Application Requirements,"The undertaking may rely on primary, secondary or modelled data collection or other relevant approaches to assess material impacts, dependencies, risks and opportunities, including Commission Recommendation 2021/2279 on the use of the Environmental Footprint methods to measure and communicate the life cycle environmental performance of products and organisations (Annex I – Product Environmental Footprint; Annex III – Organisation Environmental Footprint).",,
AR15,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",Application Requirements,"When providing information on the outcome of the materiality assessment, the undertaking shall consider:\n (a) a list of geographical areas where water is a material issue for the undertaking’s own operations and its upstream and downstream value chain;\n (b) a list of marine resources-related commodities used by the undertaking which are material to the good environmental status of marine waters as well as for the protection of marine resources; and\n (c) a list of sectors or segments associated with water and marine resources material impacts, risks and opportunities.",,
9,Disclosure Requirement E3-1 – Policies related to water and marine resources,,"The undertaking shall describe its policies adopted to manage its material impacts, risks and opportunities related to water and marine resources5",,
10,Disclosure Requirement E3-1 – Policies related to water and marine resources,,"The objective of this Disclosure Requirement is to enable an understanding of the extent to which the undertaking has policies that address the identification, assessment, management and/or remediation of its material water and marine resources-related impacts, risks and opportunities.",,
11,Disclosure Requirement E3-1 – Policies related to water and marine resources,,"The disclosure required by paragraph 9 shall contain the information on the policies the undertaking has in place to manage its material impacts, risks and opportunities related to water and marine resources in accordance with ESRS 2 MDR-P Policies adopted to manage material sustainability matters.",,MDR-P
12,Disclosure Requirement E3-1 – Policies related to water and marine resources,,The undertaking shall indicate whether and how its policies address the following matters where material:\n (a) water management including:\n (ai) the use and sourcing of water and marine resources in its own operations;\n (aii) water treatment as a step towards more sustainable sourcing of water; and\n (aiii) the prevention and abatement of water pollution resulting from its activities.\n (b) product and service design in view of addressing water-related issues and the preservation of marine resources; and\n (c) commitment to reduce material water consumption in areas at water risk in its own operations and along the upstream and downstream value chain.,,narrative
13,Disclosure Requirement E3-1 – Policies related to water and marine resources,,"If at least one of the sites of the undertaking is located in an area of high-water stress and it is not covered by a policy, the undertaking shall state this to be the case and provide reasons for not having adopted such a policy. The undertaking may disclose a timeframe in which it aims to adopt such a policy.6",,narrative
14,Disclosure Requirement E3-1 – Policies related to water and marine resources,,The undertaking shall specify whether it has adopted policies or practices related to sustainable oceans and seas7 .,,semi-narrative
AR16,Disclosure Requirement E3-1 – Policies related to water and marine resources,Application Requirements,The policies described under this Disclosure Requirement may be integrated in broader environmental or sustainability policies covering different subtopics.,,
AR17,Disclosure Requirement E3-1 – Policies related to water and marine resources,Application Requirements,"When disclosing information under paragraph 9, the undertaking may disclose whether its policies :\n (a) prevent further deterioration and protect and enhance the status of water bodies and aquatic ecosystems;\n (b) promote sustainable water use based on a long-term protection of available water resources;\n (c) aim at enhanced protection and improvement of the aquatic environment;\n (d) promote a good environmental status of marine water; and\n (e) promote reduction of water withdrawals and water discharges.",,
AR18,Disclosure Requirement E3-1 – Policies related to water and marine resources,Application Requirements,"The undertaking may also disclose information about policies which:\n (a) contribute to good ecological and chemical quality of surface water bodies and good chemical quality and quantity of groundwater bodies, in order to protect human health, water supply, natural ecosystems and biodiversity, the good environmental status of marine waters and the protection of the resource base upon which marine related activities depend;\n (b) minimise material impacts and risks and implement mitigation measures that aim to maintain the value and functionality of priority services and to increase resource efficiency on own operations; and (c) avoid impacts on affected communities",,semi-narrative
15,Disclosure Requirement E3-2 – Actions and resources related to water and marine resources,,The undertaking shall disclose its water and marine resources-related actions and the resources allocated to their implementation.,,
16,Disclosure Requirement E3-2 – Actions and resources related to water and marine resources,,The objective of this Disclosure Requirement is to enable an understanding of the key actions taken and planned to achieve the water and marine resources-related policy objectives and targets,,
17,Disclosure Requirement E3-2 – Actions and resources related to water and marine resources,,"The description of the actions and resources shall follow the principles defined in ESRS 2 MDRA Actions and resources in relation to material sustainability matters. In addition to ESRS 2 MDRA, the undertaking may specify to which layer in the mitigation hierarchy an action and",,MDR-A
18,Disclosure Requirement E3-2 – Actions and resources related to water and marine resources,,Resources can be allocated to:\n (a) avoid the use of water and marine resources;\n (b) reduce the use of water and marine resources such as through efficiency measures;\n (c) reclaiming and reuse of water; or\n (d) restoration and regeneration of aquatic ecosystem and water bodies.,,semi-narrative
19,Disclosure Requirement E3-2 – Actions and resources related to water and marine resources,,"The undertaking shall specify actions and resources in relation to areas at water risk, including areas of high-water stress.",,narrative
AR19,Disclosure Requirement E3-2 – Actions and resources related to water and marine resources policies,Application Requirements,"When disclosing information required under paragraph 15, the undertaking shall consider the actions, or action plans, contributing to address the material impacts, risks and opportunities identified. Useful guidance is provided by the Alliance for Water Stewardship (AWS).",,
AR20,Disclosure Requirement E3-2 – Actions and resources related to water and marine resources policies,Application Requirements,"Considering that water and marine resources are shared resources which may require collective actions, or action plans, involving other stakeholders, the undertaking may provide information on those specific collective actions, including information on other parties (competitors, suppliers, retailers, customers, other business partners, local communities and authorities, government agencies…) and specific information on the project, its specific contribution, its sponsors and other participants.",,narrative
AR21,Disclosure Requirement E3-2 – Actions and resources related to water and marine resources policies,Application Requirements,"When providing information on capital expenditures, the undertaking may consider expenditures related, for example, to stormwater drain rehabilitation, pipelines, or machinery used to manufacture new low water-use products.",,
20,Disclosure Requirement E3-3 – Targets related to water and marine resources,,The undertaking shall disclose the water and marine resources-related targets it has set,,
21,Disclosure Requirement E3-3 – Targets related to water and marine resources,,"The objective of this Disclosure Requirement is to enable an understanding of the targets the undertaking has adopted to support its water and marine resources-related policies and address its material water and marine resources-related impacts, risks and opportunities.",,
22,Disclosure Requirement E3-3 – Targets related to water and marine resources,,The description of the targets shall contain the information requirements defined in ESRS 2 MDR-T Tracking effectiveness of policies and actions through targets.,,MDR-T
23,Disclosure Requirement E3-3 – Targets related to water and marine resources,,"The disclosure required by paragraph 20 shall indicate whether and how its targets relate to:\n (a) the management of material impacts, risks and opportunities related to areas at water risk, including improvement of the water quality;\n (b) the responsible management of marine resources impacts, risks and opportunities including the nature and quantity of marine resources-related commodities (such as gravels, deep-sea minerals, seafood) used by the undertaking; and\n (c) the reduction of water consumption, including an explanation of how those targets relate to areas at water risk, including areas of high water-stress.",,narrative
24,Disclosure Requirement E3-3 – Targets related to water and marine resources,,"In addition to ESRS 2 MDR-T, the undertaking may specify whether ecological thresholds and entity-specific allocations were taken into consideration when setting targets. If so, the undertaking may specify:\n (a) the ecological thresholds identified, and the methodology used to identify such thresholds;\n (b) whether or not the thresholds are entity-specific and if so, how they were determined; and\n (c) how responsibility for respecting identified ecological thresholds is allocated in the undertaking.",,semi-narrative
25,Disclosure Requirement E3-3 – Targets related to water and marine resources,,"The undertaking shall specify as part of the contextual information, whether the targets it has set and presented are mandatory (required by legislation) or voluntary.",,semi-narrative
AR22,Disclosure Requirement E3-3 – Targets related to water and marine resources,Application Requirements,"If the undertaking refers to ecological thresholds when setting targets, it may refer to the guidance provided by the Science-Based Targets Initiative for Nature (SBTN) in its interim guidance (Initial Guidance for Business, September 2020). It may also refer to any other guidance with a scientifically acknowledged methodology that enables the setting of sciencebased targets by identifying ecological thresholds and, if applicable, organisationspecific allocations. Ecological thresholds can be local, national and/or global.",,
AR23,Disclosure Requirement E3-3 – Targets related to water and marine resources,Application Requirements,The undertaking may provide targets relating to:\n (a) the reduction of water withdrawals; and\n (b) the reduction of water discharges.,,semi-narrative
AR24,Disclosure Requirement E3-3 – Targets related to water and marine resources,Application Requirements,"If the undertaking provides targets on withdrawals, it may include water withdrawal from polluted soils and aquifers, and water withdrawn and treated for remediation purposes.",,
AR25,Disclosure Requirement E3-3 – Targets related to water and marine resources,Application Requirements,"If the undertaking provides targets on discharges, it may include water discharges to groundwater such as reinjection to aquifers, or water returning to a groundwater source via a soakaway or a swale.",,
AR26,Disclosure Requirement E3-3 – Targets related to water and marine resources,Application Requirements,The targets may cover its own operations and/or its upstream and downstream value chain,,
AR27,Disclosure Requirement E3-3 – Targets related to water and marine resources,Application Requirements,"The undertaking may specify whether the target addresses shortcomings related to the Substantial Contribution criteria for Water and Marine Resources as defined in the Commission delegated acts adopted pursuant to Article 12(2) of Regulation (EU) 2020/852. Where the Do No Significant Harm (DNSH) criteria for Water and Marine Resources as defined in delegated acts adopted pursuant to Article 10(3), Article 11(3), Article 13(2), Article 14(2), and Article 15(2) of Regulation (EU) 2020/852 are not met, the undertaking may specify whether the target addresses shortcomings related those DNSH criteria.",,
26,Disclosure Requirement E3-4 – Water consumption,,"The undertaking shall disclose information on its water consumption performance related to its material impacts, risks and opportunities.",,
27,Disclosure Requirement E3-4 – Water consumption,,The objective of this Disclosure Requirement is to provide an understanding of the undertaking’s water consumption and any progress by the undertaking in relation to its targets.,,
28,Disclosure Requirement E3-4 – Water consumption,,"The disclosure required by paragraph 26 relates to own operations and shall include:\n (a) total water consumption in m3;\n (b) total water consumption in m3 in areas at water risk, including areas of high-water stress;\n (c) total water recycled and reused in m3;8\n (d) total water stored and changes in storage in m3; and\n (e) any contextual information necessary regarding points (a) to (d), including the water basins’ water quality and quantity, how the data have been compiled, such as any standards, methodologies, and assumptions used, including whether the information is calculated, estimated, modelled, or sourced from direct measurements, and the approach taken for this, such as the use of any sector-specific factors.",,Volume
29,Disclosure Requirement E3-4 – Water consumption,,The undertaking shall provide information on its water intensity: total water consumption in its own operations in m3 per million EUR net revenue76 .,,Percent
AR28,Disclosure Requirement E3-4 – Water consumption,Application Requirements,"The undertaking may operate in various areas at water risk. When disclosing information under paragraph 28 (b), the undertaking shall include such information only for those areas that have been identified as material in accordance with ESRS2 IRO-1 and ESRS2 SBM-3",,
AR29,Disclosure Requirement E3-4 – Water consumption,Application Requirements,"When disclosing contextual information on water consumption performance required by paragraph 26, the undertaking shall explain the calculation methodologies and more specifically the share of the measure obtained from direct measurement, from sampling and extrapolation, or from best estimates.",,
AR30,Disclosure Requirement E3-4 – Water consumption,Application Requirements,"The undertaking may provide information on other breakdowns (i.e., per sector or segments).",,Table/Volume
AR31,Disclosure Requirement E3-4 – Water consumption,Application Requirements,When disclosing information required by paragraph 29 the undertaking may provide additional intensity ratios based on other denominators.,,Percent
AR32,Disclosure Requirement E3-4 – Water consumption,Application Requirements,The undertaking may also provide information on its water withdrawals and water,,Volume
30,Disclosure Requirement E3-5 – Anticipated financial effects from material water and marine resources-related risks and opportunities,,The undertaking shall disclose the anticipated financial effects of material water and marine resources-related risks and opportunities.,,
31,Disclosure Requirement E3-5 – Anticipated financial effects from material water and marine resources-related risks and opportunities,,"The information required by paragraph 30 is in addition to the information on current financial effects on the entity’s financial position, financial performance and cash flows for the reporting period required under ESRS 2 SBM-3 para 48 (d).",,
32,Disclosure Requirement E3-5 – Anticipated financial effects from material water and marine resources-related risks and opportunities,,"The objective of this Disclosure Requirement is to provide an understanding of\n (a) anticipated financial effects due to material risks arising from water and marine resources-related impacts and dependencies and how these risks have (or could reasonably be expected to have) a material influence on the undertaking’s financial position, financial performance and cash flows, over the short-, medium- and long-term; and\n (b) anticipated financial effects due to material opportunities related to water and marine resources.",,
33,Disclosure Requirement E3-5 – Anticipated financial effects from material water and marine resources-related risks and opportunities,,"The disclosure shall include:\n (a) a quantification of the anticipated financial effects in monetary terms before considering water and marine resources-related actions or where not possible without undue cost or effort, qualitative information. For financial effects arising from opportunities, a quantification is not required if it would result in disclosure that does not meet the qualitative characteristics of information (see ESRS 1 Appendix B Qualitative characteristics of information);\n (b) a description of the effects considered, the impacts and dependencies to which they relate, and the time horizons in which they are likely to materialise; and\n (c) the critical assumptions used to quantify the anticipated financial effects, as well as the sources and level of uncertainty of those assumptions.",,Monetary
AR33,Disclosure Requirement E3-5 – Anticipated financial effects from material water and marine resources-related risks and opportunities,Application Requirements,"The undertaking may include an assessment of its related products and services at risk over the short-, medium- and long-term, explaining how these are defined, how financial amounts are estimated, and which critical assumptions are made.",,narrative
AR34,Disclosure Requirement E3-5 – Anticipated financial effects from material water and marine resources-related risks and opportunities,Application Requirements,The quantification of the anticipated financial effects in monetary terms under paragraph 39(a) may be a single amount or a range.,,
AR1,Appendix A: Application Requirements,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities","When conducting a materiality assessment on environmental subtopics, the undertaking shall assess the materiality of water and marine resources in its own operations and its upstream and downstream value chain, and may consider the four phases below, also known as the LEAP approach:\n (a) Phase 1: locate where in its own operations and along the value chain the interface with nature takes place;\n (b) Phase 2: evaluate the dependencies and impacts;\n (c) Phase 3: assess the material risks and opportunities; and\n (d) Phase 4: prepare and report the results of the materiality assessment.",,narrative
AR2,Appendix A: Application Requirements,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities","The materiality assessment for ESRS E3 corresponds to the first three phases of this LEAP approach, the fourth phase addresses the outcome of the process.",,
AR3,Appendix A: Application Requirements,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities","The processes to assess the materiality of impacts, risks and opportunities shall consider the provisions in ESRS 2 IRO-1 Description of the processes to identify and assess material impacts, risks and opportunities, and IRO-2 Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement.",,
AR4,Appendix A: Application Requirements,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities","The sub-topics related to water and marine resources covered by the materiality assessment include:\n (a) water, which encompasses the consumption of surface water, groundwater, as well as withdrawals and discharges of water; and\n (b) marine resources, which encompasses the extraction and use of such resources and associated economic activities.",,
AR5,Appendix A: Application Requirements,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities","In phase 1, to locate where there are areas at water risk, and areas where there is an interface with marine resources that could lead to material impacts and dependencies in its own operations and along its upstream and downstream value chain, the undertaking may consider:\n (a) the locations of direct assets and operations and related upstream and downstream activities across the value chain;\n (b) the sites located in areas at water risk, including areas of high-water stress; and\n (c) the sectors or business units that are interfacing with water or marine resources in these priority locations.",,
AR6,Appendix A: Application Requirements,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",The undertaking shall consider river basins as the relevant level for assessment of locations and combine that approach with an operational risk assessment of its facilities and the facilities of suppliers with material impacts and risks.,,
AR7,Appendix A: Application Requirements,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities",The undertaking shall consider the criteria for defining the status of water bodies according to the relevant Annexes of Directive 2000/60/EC (Water Framework Directive) as well as the guidance documents provided for implementation of the Water Framework Directive. The list of guidance documents can be accessed under the European Commission’s Environment home page.,,
AR8,Appendix A: Application Requirements,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities","In phase 2, to evaluate its impacts and dependencies for each priority location identified under AR 5, the undertaking may:\n (a) identify business processes and activities that lead to impacts and dependencies on environmental assets and ecosystem services;\n (b) identify water and marine resources-related impacts and dependencies across the undertaking’s value chain; and\n (c) assess the severity and likelihood of the positive and negative impacts on water and marine resources.",,
AR9,Appendix A: Application Requirements,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities","For the identification of water and marine resources-related dependencies, the undertaking may rely on international classifications such as the Common International Classification of Ecosystem Services (CICES).",,
AR10,Appendix A: Application Requirements,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities","When identifying its marine resources-related dependencies, the undertaking shall consider if it depends upon key marine resources-related commodities, including but not limited to gravels and seafood products.",,
AR11,Appendix A: Application Requirements,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities","Marine resources are defined according to their use by human societies and must be considered in relation to the pressure they are subject to. Some of the pressure indicators are presented in other ESRS, namely microplastics and emissions to water in ESRS E2 and plastic waste in ESRS E5",,
AR12,Appendix A: Application Requirements,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities","Examples of marine resources dependencies which may be considered by the undertaking are:\n (a) dependencies on commercially exploited fish and shellfish in its own operations and its upstream and downstream value chain; and\n (b) fishing activity that involves mobile bottom trawling, which can also have negative impacts on the seabed.",,
