index,paragraphId,chapterTitle,subChapterTitle,content,summary,dataType
11,10,Basis for preparation,Disclosure Requirement BP-2 - Disclosures in relation to specific circumstances,"When metrics include upstream and/or downstream value chain data estimated using indirect sources, such as sector-average data or other proxies, the undertaking shall:\n (a) identify the metrics;\n (b) describe the basis for preparation;\n (c) describe the resulting level of accuracy; and\n (d) where applicable, describe the planned actions to improve the accuracy in the future (see ESRS 1 chapter 5 Value chain).","When using indirect sources for value chain data, the undertaking must identify the metrics, explain the preparation basis, describe the accuracy level, and if relevant, outline future plans to enhance accuracy.",semi-narrative
12,11,Basis for preparation,Disclosure Requirement BP-2 - Disclosures in relation to specific circumstances,"In accordance with ESRS 1 section 7.2 Sources of estimation and outcome uncertainty, the undertaking shall:\n (a) identify the quantitative metrics and monetary amounts it has disclosed that are subject to a high level of measurement uncertainty;\n (b) in relation to each quantitative metric and monetary amount identified:\n (bi) disclose information about the sources of measurement uncertainty (for example, the dependence of the amount on the outcome of a future event, on a measurement technique or on the availability and quality of data from the entity's upstream and/or downstream value chain); and\n (bii) disclose the assumptions, approximations and judgements the entity has made in measuring it.","The undertaking must identify and disclose information about the quantitative metrics and monetary amounts with high measurement uncertainty, including their sources and the assumptions made in measuring them.",narrative
13,12,Basis for preparation,Disclosure Requirement BP-2 - Disclosures in relation to specific circumstances,"When disclosing forward-looking information, the undertaking may indicate that it considers such information to be uncertain.",The company may express uncertainty about its future predictions.,narrative
14,13,Basis for preparation,Disclosure Requirement BP-2 - Disclosures in relation to specific circumstances,"When changes in the preparation and presentation of sustainability information occur compared to the previous reporting period(s), (see ESRS 1 section 7.4 Changes in preparation or presentation in sustainability information), the undertaking shall:\n (a) explain the changes and the reasons for them, including why the replaced metric provides more useful information;\n (b) disclose revised comparative figures, unless it is impracticable to do so. When it is impracticable to adjust comparative information for one or more prior periods, the undertaking shall disclose that fact; and\n (c) disclose the difference between the figure disclosed in the preceding period and the revised comparative figure.","When sustainability information preparation or presentation changes, the entity must explain the changes, provide revised figures, and disclose the difference between the old and new figures.",narrative
15,14,Basis for preparation,Disclosure Requirement BP-2 - Disclosures in relation to specific circumstances,"When the undertaking identifies material prior period errors (see ESRS 1 section 7.5 Reporting errors in prior periods), it shall disclose:\n (a) the nature of the prior period material error;\n (b) to the extent practicable, the correction for each prior period included in the sustainability statement; and\n (c) if correction of the error is not practicable, the circumstances that led to the existence of that condition.","When a project finds significant errors from previous periods, it must disclose the error's nature, the correction for each past period in the sustainability statement, and the reasons if the error can't be corrected.",narrative
16,15,Basis for preparation,Disclosure Requirement BP-2 - Disclosures in relation to specific circumstances,"When the undertaking includes in its sustainability statement information stemming from other legislation which requires the undertaking to disclose sustainability information or from generally accepted sustainability reporting standards and frameworks (see ESRS 1 section 8.2 Content and structure of the sustainability statement), in addition to the information prescribed by ESRS, it shall disclose this fact. In case of partial application of other reporting standards or frameworks, the undertaking shall provide a precise reference to the paragraphs of the standard or framework applied.","The undertaking must disclose if it includes additional sustainability information from other laws or standards in its sustainability statement, and provide specific references if only parts of other standards are used.",narrative
17,16,Basis for preparation,Disclosure Requirement BP-2 - Disclosures in relation to specific circumstances,"When the undertaking incorporates information by reference (see ESRS 1 section 9.1 Incorporation by reference), it shall disclose a list of the disclosure requirements of ESRS, or the specific datapoints mandated by a Disclosure Requirement, that have been incorporated by reference.",The undertaking must disclose a list of ESRS disclosure requirements or specific datapoints that have been incorporated by reference.,narrative
18,17,Basis for preparation,Disclosure Requirement BP-2 - Disclosures in relation to specific circumstances,"If an undertaking or group not exceeding on its balance sheet date the average number of 750 employees during the financial year decides to omit the information required by ESRS E4, ESRS S1, ESRS S2, ESRS S3 or ESRS S4 in accordance with Appendix C of ESRS 1, it shall nevertheless disclose whether the sustainability topics covered respectively by ESRS E4, ESRS S1, ESRS S2, ESRS S3 and ESRS S4 have been assessed to be material as a result of the undertaking's materiality assessment. In addition, if one or more of these topics has been assessed to be material, the undertaking shall, for each material topic:\n (a) disclose the list of matters (i.e. topic, sub-topic or sub-sub-topic) in AR 16 ESRS 1 Appendix A that are assessed to be material and briefly describe how the undertaking's business model and strategy take account of the impacts of the undertaking related to those matters. The undertaking may identify the matter at the level of topic, sub-topic or sub-sub-topic;\n (b) briefly describe any time-bound targets it has set related to the matters in question, the progress it has made towards achieving those targets, and whether its targets related to biodiversity and ecosystems are based on conclusive scientific evidence;\n (c) briefly describe its policies in relation to the matters in question;\n (d) briefly describe actions it has taken to identify, monitor, prevent, mitigate, remediate or bring an end to actual or potential adverse impacts related to the matters in question, and the result of such actions; and\n (e) disclose metrics relevant to the matters in question.","If a business with less than 750 employees omits certain information, it must still disclose if sustainability topics have been deemed material, describe how these topics affect their business model and strategy, list any related targets, describe their policies and actions regarding these matters, and disclose relevant metrics.",semi-narrative
19,AR2,Basis for preparation,Disclosure Requirement BP-2 - Disclosures in relation to specific circumstances,"The undertaking may disclose whether it relies on any European standards approved by the European Standardisation System (ISO/IEC or CEN/CENELEC standards), as well as the extent to which data and processes that are used for sustainability reporting purposes have been verified by an external assurance provider and found to conform to the corresponding ISO/IEC or CEN/CENELEC standard.",The task involves revealing reliance on European standards and the verification of sustainability reporting data and processes by an external provider.,semi-narrative
20,18,Governance,2. Governance,"The objective of this chapter is to set disclosure requirements that enable an understanding of the governance processes, controls and procedures put in place to monitor, manage and oversee sustainability matters.","This chapter aims to establish rules for disclosing how sustainability issues are monitored, managed, and overseen.",
21,19,Governance,"Disclosure Requirement GOV-1 - The role of the administrative, management and supervisory bodies","The undertaking shall disclose the composition of the administrative, management and supervisory bodies, their roles and responsibilities and access to expertise and skills with regard to sustainability matters.","The company will reveal the structure of its management bodies, their duties, and their knowledge on sustainability issues.",
22,20,Governance,"Disclosure Requirement GOV-1 - The role of the administrative, management and supervisory bodies","The objective of this Disclosure Requirement is to provide an understanding of:\n (a) the composition and diversity of the administrative, management and supervisory bodies;\n (b) the roles and responsibilities of the administrative, management and supervisory bodies in exercising oversight of the process to manage material impacts, risks and opportunities, including management's role in these processes; and\n (c) the expertise and skills of its administrative, management and supervisory bodies on sustainability matters or access to such expertise and skills.","This Disclosure Requirement aims to clarify the structure, roles, responsibilities, and sustainability expertise of the administrative, management and supervisory bodies.",
23,21,Governance,"Disclosure Requirement GOV-1 - The role of the administrative, management and supervisory bodies","The undertaking shall disclose the following information about the composition and diversity of the members of the undertaking's administrative, management and supervisory bodies:\n (a) the number of executive and non-executive members;\n (b) representation of employees and other workers;\n (c) experience relevant to the sectors, products and geographic locations of the undertaking;\n (d) percentage by gender and other aspects of diversity that the undertaking considers. The board's gender diversity1 shall be calculated as an average ratio of female to male board members; and\n (e) the percentage of independent board members2 . oor undertakings with a unitary board, this corresponds to the percentage of independent non-executive board members. oor undertakings with a dual board, it corresponds to the percentage of independent members of the supervisory body.","The company must disclose information about the number, diversity, representation, experience, and independence of its administrative, management, and supervisory bodies' members.",narrative
24,22,Governance,"Disclosure Requirement GOV-1 - The role of the administrative, management and supervisory bodies","The undertaking shall disclose the following information about the roles and responsibilities of the administrative, management and supervisory bodies:\n (a) the identity of the administrative, management and supervisory bodies (such as a board committee or similar) or individual(s) within a body responsible for oversight of impacts, risks and opportunities;\n (b) how each body's or individual's responsibilities for impacts, risks and opportunities are reflected in the undertaking's terms of reference, board mandates and other related policies;\n (c) a description of management's role in the governance processes, controls and procedures used to monitor, manage and oversee impacts, risks and opportunities, including:\n (ci) whether that role is delegated to a specific management-level position or committee and how oversight is exercised over that position or committee;\n (cii) information about the reporting lines to the administrative, management and supervisory bodies;\n (ciii) whether dedicated controls and procedures are applied to the management of impacts, risks and opportunities and, if so, how they are integrated with other internal functions; and\n (d) how the administrative, management and supervisory bodies and senior executive management oversee the setting of targets related to material impacts, risks and opportunities, and how they monitor progress towards them.","The company must disclose information about the identities, roles, and responsibilities of its administrative, management, and supervisory bodies, including their involvement in overseeing impacts, risks, and opportunities, and how they monitor progress towards set targets.",narrative
25,23,Governance,"Disclosure Requirement GOV-1 - The role of the administrative, management and supervisory bodies","The disclosure shall include a description of how the administrative, management and supervisory bodies determine whether appropriate skills and expertise are available or will be developed to oversee sustainability matters, including:\n (a) the sustainability-related expertise that the bodies, as a whole, either directly possess or can leverage, for example through access to experts or training; and\n (b) how those skills and expertise relate to the undertaking's material impacts, risks and opportunities",The disclosure will detail how the organization's leadership assesses and ensures the availability or development of skills and expertise for overseeing sustainability matters.,narrative
26,AR3,Governance,"Disclosure Requirement GOV-1 - The role of the administrative, management and supervisory bodies","In describing the role and responsibilities of the administrative, management and supervisory bodies with regard to sustainability matters, the undertaking may specify:\n (a) the aspects of sustainability over which oversight is exercised with regard to the environmental, social and governance matters the undertaking may be facing, including:\n (ai) any assessment of and changes to sustainability-related aspects of the undertaking's strategy and business model;\n (aii) the identification and assessment of material risks, opportunities and impacts; iii. related policies and targets, action plans and dedicated resources; and iv. sustainability reporting;\n (b) the form such oversight takes for each of the above aspects: i.e., information, consultation or decision-making; and\n (c) the way such oversight is organised and formalised, i.e., processes by which the administrative, management and supervisory bodies engage with these aspects of sustainability.","The text describes how a company's administrative, management, and supervisory bodies oversee and manage sustainability matters, including strategy changes, risk assessment, policy creation, and sustainability reporting.",
27,AR4,Governance,"Disclosure Requirement GOV-1 - The role of the administrative, management and supervisory bodies","In describing the undertaking's organisation of governance regarding sustainability matters, a description of complex governance structure may be complemented by their presentation in the form of a diagram.",The project's sustainability governance can be explained through a detailed description and a diagram.,
28,AR5,Governance,"Disclosure Requirement GOV-1 - The role of the administrative, management and supervisory bodies","The description of the level of expertise or access to expertise of the administrative, management and supervisory bodies may be substantiated by illustrating the composition of the bodies, including members on whom these bodies rely for expertise to oversee sustainability matters, and how they leverage that expertise as a body. In the description, the undertaking shall consider how the expertise and skills are relevant to the undertaking's material impacts, risks and opportunities and whether the bodies and/or its members have access to other sources of expertise, such as specific experts and training and other educational initiatives to update and develop sustainability-related expertise within these bodies.","The text discusses how a company's administrative, management, and supervisory bodies utilize their expertise and access to other experts to manage sustainability matters, considering their impacts, risks, and opportunities.",
29,24,Governance,"Disclosure Requirement GOV-2 - Information provided to and sustainability matters addressed by the undertaking's administrative, management and supervisory bodies","The undertaking shall disclose how the administrative, management and supervisory bodies are informed about sustainability matters and how these matters were addressed during the reporting period.",The project will reveal how its leaders are informed about sustainability issues and how these were handled during the reported period.,
30,25,Governance,"Disclosure Requirement GOV-2 - Information provided to and sustainability matters addressed by the undertaking's administrative, management and supervisory bodies","The objective of this Disclosure Requirement is to provide an understanding of how administrative, management and supervisory bodies are informed about sustainability matters, as well as what information and matters they addressed during the reporting period. This in turn allows an understanding of whether the members of these bodies were adequately informed and whether they were able to fulfil their roles.",This Disclosure Requirement aims to clarify how leadership bodies are informed about sustainability issues and if they were able to perform their roles effectively.,
31,26,Governance,"Disclosure Requirement GOV-2 - Information provided to and sustainability matters addressed by the undertaking's administrative, management and supervisory bodies","The undertaking shall disclose the following information:\n (a) whether, by whom and how frequently the administrative, management and supervisory bodies, including their relevant committees, are informed about material impacts, risks and opportunities (see Disclosure Requirement IRO-1 - Description of the processes to identify and assess material impacts, risks and opportunities of this Standard), the implementation of due diligence, and the results and effectiveness of policies, actions, metrics and targets adopted to address them;\n (b) how the administrative, management and supervisory bodies consider impacts, risks and opportunities when overseeing the undertaking's strategy, its decisions on major transactions, and its risk management process, including whether they have considered trade-offs associated with those impacts, risks and opportunities; and\n (c) a list of the material impacts, risks and opportunities addressed by the administrative, management and supervisory bodies, or their relevant committees during the reporting period.","The company must disclose how its management is informed about significant impacts, risks, and opportunities, how these factors influence strategic decisions, and a list of these elements addressed during the reporting period.",narrative
32,AR6,Governance,"Disclosure Requirement GOV-2 - Information provided to and sustainability matters addressed by the undertaking's administrative, management and supervisory bodies","Depending on the undertaking's structure, the administrative, management and supervisory bodies may focus on overarching targets, while management focuses on the more detailed targets. In this case, the undertaking may disclose how the governance bodies ensure that an appropriate mechanism for performance monitoring is in place.","The governance bodies of a project focus on broad goals and ensure proper performance monitoring, while management handles detailed targets.",narrative
33,27,Governance,Disclosure Requirement GOV-3 - Integration of sustainability-related performance in incentive schemes,The undertaking shall disclose information about the integration of its sustainabilityrelated performance in incentive schemes.,The company will share details on how its sustainability efforts are incorporated into incentive programs.,
34,28,Governance,Disclosure Requirement GOV-3 - Integration of sustainability-related performance in incentive schemes,"The objective of this Disclosure Requirement is to provide an understanding of whether incentive schemes are offered to members of the administrative, management and supervisory bodies that are linked to sustainability matters.","This Disclosure Requirement aims to clarify if sustainability-related incentives are provided to administrative, management, and supervisory staff.",
35,29,Governance,Disclosure Requirement GOV-3 - Integration of sustainability-related performance in incentive schemes,"The undertaking shall disclose the following information about the incentive schemes and remuneration policies linked to sustainability matters for members of the undertaking's administrative, management and supervisory bodies, where they exist:\n (a) a description of the key characteristics of the incentive schemes;\n (b) whether performance is being assessed against specific sustainability-related targets and/or impacts, and if so, which ones;\n (c) whether and how sustainability-related performance metrics are considered as performance benchmarks or included in remuneration policies;\n (d) the proportion of variable remuneration dependent on sustainability-related targets and/or impacts; and\n (e) the level in the undertaking at which the terms of incentive schemes are approved and updated.","The company must disclose information about its sustainability-related incentive schemes and remuneration policies for its administrative, management, and supervisory bodies, including their key characteristics, performance metrics, proportion of variable remuneration, and approval levels.",semi-narrative
36,AR7,Governance,Disclosure Requirement GOV-3 - Integration of sustainability-related performance in incentive schemes,"For listed undertakings, this Disclosure Requirement should be consistent with the remuneration report prescribed in articles 9a and 9b of Directive 2007/36/EC on the exercise of certain rights of shareholders in listed companies. Subject to the provisions of ESRS 1, paragraphs 119, 120 and 122, a listed undertaking may make a reference to its remuneration report.","The Disclosure Requirement for listed companies should align with the remuneration report outlined in Directive 2007/36/EC, and they can refer to their remuneration report as per ESRS 1, paragraphs 119, 120, and 122.",
37,30,Governance,Disclosure Requirement GOV-4 - Statement on due diligence,The undertaking shall disclose a mapping of the information provided in its sustainability statement about the due diligence process.,The company will reveal a guide of the data in its sustainability report regarding the due diligence process.,narrative
38,31,Governance,Disclosure Requirement GOV-4 - Statement on due diligence,The objective of this Disclosure Requirement is to facilitate an understanding of the undertaking's due diligence process with regard to sustainability matters.,This Disclosure Requirement aims to clarify the company's process for handling sustainability issues.,
39,32,Governance,Disclosure Requirement GOV-4 - Statement on due diligence,"The main aspects and steps of due diligence referred to under ESRS 1 chapter 4 Due diligence are related to a number of cross-cutting and topical Disclosure Requirements under the ESRS. The undertaking shall provide a mapping that explains how and where its application of the main aspects and steps of the due diligence process are reflected in its sustainability statement, to allow a depiction of the actual practices of the undertaking with regard to due diligence3 .",The ESRS 1 chapter 4 requires companies to map out how their due diligence process is reflected in their sustainability statement.,narrative
40,33,Governance,Disclosure Requirement GOV-4 - Statement on due diligence,"This disclosure requirement does not mandate any specific behavioural requirements with regard to due diligence actions and does not extend or modify the role of administrative, management and supervisory bodies as mandated by other legislation or regulation.",This disclosure rule doesn't dictate due diligence actions or change the roles of administrative and supervisory bodies as per other laws.,
41,AR8,Governance,Disclosure Requirement GOV-4 - Statement on due diligence,"The mapping required by paragraph 30 may be presented in the form of a table, crossreferencing the core elements of due diligence, for impacts on people and the environment, to the relevant disclosures in the undertaking's sustainability statement, as set out below.",Paragraph 30 requires a table mapping due diligence elements to sustainability statement disclosures for impacts on people and the environment.,
42,AR9,Governance,Disclosure Requirement GOV-4 - Statement on due diligence,"The undertaking may include additional columns to the table below to clearly identify those disclosures that relate to impacts on people and/or the environment given that, in some cases, more than one disclosure may provide information about the same due diligence step.","The project might add more columns to the table to better highlight disclosures related to human and environmental impacts, as some disclosures may pertain to the same due diligence step.",
43,AR10,Governance,Disclosure Requirement GOV-4 - Statement on due diligence,"The main references in the international instruments of the UN Guiding Principles on Business and Human Rights and the OECD Guidelines for Multinational Enterprises to the core elements of the due diligence process are listed in ESRS 1 chapter 4.\n (a) Embedding due diligence in governance, strategy and business model\n (b) Engaging with affected stakeholders in all key steps of the due diligence\n (c) Identifying and assessing adverse impacts\n (d) Taking actions to address those adverse impacts\n (e) Tracking the effectiveness of these efforts and communicating","ESRS 1 chapter 4 lists the core elements of the due diligence process in business and human rights as per UN and OECD guidelines, including embedding due diligence, stakeholder engagement, impact assessment, action on impacts, and tracking and communication.",
44,34,Governance,Disclosure Requirement GOV-5 - Risk management and internal controls over sustainability reporting,The undertaking shall disclose the main features of its risk management and internal control system in relation to the sustainability reporting process.,The company will reveal the key aspects of its risk management and internal control system for the sustainability reporting process.,
45,35,Governance,Disclosure Requirement GOV-5 - Risk management and internal controls over sustainability reporting,The objective of this Disclosure Requirement is to provide an understanding of the undertaking's risk management and internal control processes in relation to sustainability reporting.,This Disclosure Requirement aims to clarify the company's risk management and internal control processes for sustainability reporting.,
46,36,Governance,Disclosure Requirement GOV-5 - Risk management and internal controls over sustainability reporting,"The undertaking shall disclose the following information:\n (a) the scope, main features and components of the risk management and internal control processes and systems in relation to sustainability reporting;\n (b) the risk assessment approach followed, including the risk prioritisation methodology;\n (c) the main risks identified and their mitigation strategies including related controls;\n (d) a description of how the undertaking integrates the findings of its risk assessment and internal controls as regards the sustainability reporting process into relevant internal functions and processes; and\n (e) a description of the periodic reporting of the findings referred to in point (d) to the administrative, management and supervisory bodies.","The undertaking will disclose information about its risk management, internal control processes, risk assessment approach, main risks and their mitigation strategies, integration of risk assessment findings into internal functions, and periodic reporting to administrative bodies in relation to sustainability reporting.",narrative
47,AR11,Governance,Disclosure Requirement GOV-5 - Risk management and internal controls over sustainability reporting,"This Disclosure Requirement focuses solely on the internal control processes over the sustainability reporting process. The undertaking may consider risks such as the completeness and integrity of the data, the accuracy of estimation results, the availability of upstream and/or downstream value chain data, and the timing of the availability of the information.","This disclosure requirement is about managing risks in the sustainability reporting process, including data completeness, accuracy, availability, and timing.",
48,37,Strategy,3. Strategy,"This chapter sets disclosure requirements that enable an understanding of:\n (a) the elements of the undertaking's strategy that relate to or affect sustainability matters, its business model and its value chain;\n (b) how the interests and views of the undertaking's stakeholders are taken into account by the undertaking's strategy and business model; and\n (c) the outcome of the undertaking's assessment of material impacts, risks and opportunities, including how they inform its strategy and business model.","The chapter outlines disclosure requirements for a company's sustainability strategy, stakeholder involvement, and assessment of impacts, risks, and opportunities.",
49,38,Strategy,"Disclosure Requirement SBM-1 - Strategy, business model and value chain","The undertaking shall disclose the elements of its strategy that relate to or impact sustainability matters, its business model and its value chain.","The business will reveal its sustainability-related strategies, business model, and value chain.",
50,39,Strategy,"Disclosure Requirement SBM-1 - Strategy, business model and value chain","The objective of this Disclosure Requirement is to describe the key elements of the undertaking's general strategy that relate to or affect sustainability matters, and the key elements of the undertaking's business model and value chain, in order to provide an understanding of its exposure to impacts, risks and opportunities and where they originate.","This Disclosure Requirement aims to outline the company's sustainability-related strategies, business model, and value chain to understand its exposure to impacts, risks, and opportunities.",
51,40,Strategy,"Disclosure Requirement SBM-1 - Strategy, business model and value chain","The undertaking shall disclose the following information about the key elements of its general strategy that relate to or affect sustainability matters:\n (a) a description of:\n (ai) significant groups of products and/or services offered, including changes in the reporting period (new/removed products and/or services);\n (aii) significant markets and/or customer groups served, including changes in the reporting period (new/removed markets and/or customer groups);\n (aiii) headcount of employees by geographical areas; and\n (aiv) where applicable and material, products and services that are banned in certain markets;\n (b) a breakdown of total revenue, as included in its financial statements, by significant ESRS sectors. When the undertaking provides segment reporting as required by IoRS 8 Operating segments in its financial statements, this sector revenue information shall be, as far as possible, reconciled with IoRS 8 information;\n (c) a list of the additional significant ESRS sectors beyond the ones reflected under paragraph 40(b), such as activities that give rise to intercompany revenues, in which the undertaking develops significant activities, or in which it is or may be connected to material impacts. The identification of these additional ESRS sectors shall be consistent with the way they have been considered by the undertaking when performing its materiality assessment and with the way it discloses material sector-specific information;\n (d) where applicable, a statement indicating, together with the related revenues, that the undertaking is active in:\n (di) the fossil fuel (coal, oil and gas) sector4 , (i.e., it derives revenues from exploration, mining, extraction, production, processing, storage, refining or distribution, including transportation, storage and trade, of fossil fuels as defined in Article 2, point (62), of Regulation (EU) 2018/1999 of the European Parliament and the Council 5 ), including a disaggregation of revenues derived from coal, from oil and from gas, as well as the revenues derived from Taxonomy-aligned economic activities related to fossil gas as required under Article 8(7)(a) of Commission Delegated Regulation 2021/217818;\n (dii) chemicals production6 , i.e., its activities fall under Division 20.2 of Annex I to Regulation (EC) No 1893/2006;\n (diii) controversial weapons 7 (anti-personnel mines, cluster munitions, chemical weapons and biological weapons); and/or\n (iv) the cultivation and production of tobacco21;\n (e) its sustainability-related goals in terms of significant groups of products and services, customer categories, geographical areas and relationships with stakeholders;\n (f) an assessment of its current significant products and/or services, and significant markets and customer groups, in relation to its sustainability-related goals; and\n (g) the elements of the undertaking's strategy that relate to or impact sustainability matters, including the main challenges ahead, critical solutions or projects to be put in place, when relevant for sustainability reporting.","The company must disclose information about its sustainability strategy, including details about its products, services, markets, customer groups, employee headcount, revenue breakdown, involvement in certain sectors like fossil fuels and controversial weapons, sustainability goals, and how its current operations align with these goals.",narrative
52,41,Strategy,"Disclosure Requirement SBM-1 - Strategy, business model and value chain","If the undertaking is based in an EU Member State that allows for an exemption from the disclosure of the information referred to in Article 18, paragraph 1, sub-point (a) of Directive 2013/34/EU8 , and if the undertaking has made use of that exemption, it may omit the breakdown of revenue by significant ESRS sector required by paragraph 40(b). In this case the undertaking shall nevertheless disclose the list of ESRS sectors that are significant for the undertaking.","If a business in the EU uses a certain exemption, it can skip detailing its revenue by significant ESRS sector but must still list the significant ESRS sectors.",semi-narrative
53,42,Strategy,"Disclosure Requirement SBM-1 - Strategy, business model and value chain","The undertaking shall disclose a description of its business model and value chain, including:\n (a) its inputs and its approach to gathering, developing and securing those inputs;\n (b) its outputs and outcomes in terms of current and expected benefits for customers, investors and other stakeholders; and\n (c) the main features of its upstream and downstream value chain and the undertaking's position in its value chain, including a description of the main business actors (such as key suppliers, customers, distribution channels and end-users) and their relationship to the undertaking. When the undertaking has multiple value chains, the disclosure shall cover the key value chains.","The business must provide a detailed description of its business model and value chain, including its inputs, outputs, position in the value chain, and relationships with key business actors.",narrative
54,AR12,Strategy,"Disclosure Requirement SBM-1 - Strategy, business model and value chain","To provide the information on sectors required by paragraph 40, the undertaking shall map its significant activities in accordance with ESRS sectors. If a code for a sub-sector does not exist, the caption “others” shall be used.","The undertaking must categorize its significant activities according to ESRS sectors for the information needed in paragraph 40, using ""others"" if a sub-sector code is unavailable.",
55,AR13,Strategy,"Disclosure Requirement SBM-1 - Strategy, business model and value chain","For the purposes of the disclosures required in paragraph 40, a group of products and/or services offered, a group of markets and/or customer groups served, or an ESRS sector, is significant for the undertaking if it meets one or both of the following criteria:\n (a) it accounts for more than 10 per cent of the undertaking's revenue;\n (b) it is connected with material actual impacts or material potential negative impacts of the undertaking.","A product, market, customer group, or ESRS sector is significant if it contributes over 10% of the company's revenue or is linked with substantial actual or potential negative impacts.",
