paragraphId,chapterTitle,subChapterTitle,content,,dataType
8,ESRS 2 General disclosures,,"The requirements of this section should be read in conjunction with the disclosures required by ESRS 2 on Strategy (SBM). The resulting disclosures shall be presented alongside the disclosures required by ESRS 2, except for SBM-3 Material impacts, risks and opportunities and their interaction with strategy and business model, for which the undertaking has an option to present the disclosures alongside the topical disclosure.",,
9,Disclosure Requirement related to ESRS 2 SBM-2 Interests and views of stakeholders,,"When responding to ESRS 2 SBM-2 paragraph 43, the undertaking shall disclose how the interests, views, and rights of its value chain workers could be materially impacted by the undertaking, including respect for their human rights, inform its strategy and business model. Value chain workers are a key group of affected stakeholders.",,
AR4,Disclosure Requirement related to ESRS 2 SBM-2 Interests and views of stakeholders,Application Requirements,"Disclosure Requirement ESRS 2 SBM-2 requires the undertaking to provide an understanding of whether and how it considers the role that its strategy and business model may play in creating, exacerbating or mitigating significant material impacts on value chain workers, and whether and how the business model and strategy are adapted to address such material impacts.",,
AR5,Disclosure Requirement related to ESRS 2 SBM-2 Interests and views of stakeholders,Application Requirements,"While value chain workers may not be engaging with the undertaking at the level of its strategy or business model, their views can inform the undertaking’s assessment of its strategy and business model. The undertaking may disclose the views of the value chain workers and value chain workers’ representatives.",,
10,"Disclosure Requirement related to ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction with strategy and business model",,"When responding to ESRS 2 SBM-3 paragraph 48, the undertaking shall disclose:\n (a) whether and how actual and potential impacts on value chain workers, as identified in ESRS 2 IRO-1 Description of the processes to identify and assess material impacts, risks and opportunities: (i) originate from or are connected to the undertaking’s strategy and business models, and (ii) inform and contribute to adapting the undertaking’s strategy and business model; and\n (b) the relationship between on the one hand its material risks and opportunities arising from impacts and dependencies on value chain workers, and on the other hand its strategy and business model.",,
11,"Disclosure Requirement related to ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction with strategy and business model",,"When fulfilling the requirements of paragraph ESRS 2 SBM-3 paragraph 48, the undertaking shall disclose whether all value chain workers who are likely to be materially impacted by the undertaking, including impacts that are connected with the undertaking’s own operations and value chain, including through its products or services , as well as through its business relationships, are included in the scope of its disclosure under ESRS 2. In addition, the undertaking shall provide the following information:\n (a) a brief description of the types of value chain workers who could be materially impacted by the undertaking, including impacts that connected with the undertaking’s own operations and value chain, including through its products or services, as well as through its business relationships, and specify whether they are:\n (ai) workers working on the undertaking site but who are not part of own workforce, i.e., who are not self-employed workers or workers provided by third party undertakings primarily engaged in employment activities (covered through ESRS S1);\n (aii) workers working for entities in the undertaking’s upstream value chain (e.g., those involved in the extraction of metals or minerals or harvesting of commodities, in refining, manufacturing or other forms of processing);\n (aiii) workers working for entities in the undertaking’s downstream value chain (e.g., those involved in the activities of logistics or distribution providers, franchisees, retailers);\n (aiv) workers working in the operations of a joint venture or special purpose vehicle involving the reporting undertaking;\n (av) workers who (within the prior categories or additionally) are particularly vulnerable to negative impacts whether due to their inherent characteristics or to the particular context, such as trade unionists, migrant workers, home workers, women or young workers.\n (b) any geographies, at country level or other levels, or commodities for which there is a significant risk of child labour, or of forced labour or compulsory labour, among workers in the undertaking’s value chain1 ;\n (c) in the case of material negative impacts, whether they are either (i) widespread or systemic in contexts where the undertaking operates or has sourcing or other business relationships (e.g., child labour or forced labour in particular commodity supply chains in specific countries or regions), or (ii) related to individual incidents (e.g., an industrial accident or an oil spill) or to specific business relationships. This includes consideration of impacts on value chain workers that may arise from the transition to greener and climate-neutral operations. Potential impacts include impacts associated with innovation and restructuring, closure of mines, increased mining of minerals needed for the transition to a sustainable economy, and solar panel production;\n (d) in the case of material positive impacts, a brief description of the activities that result in the positive impacts (e.g., updated purchasing practices, capacity-building to supply chain workers), including providing opportunities for the workforce such as job creation and upskilling in the context of a ‘just transition’, and the types of value chain workers that are positively affected or could be positively affected; the undertaking may also disclose whether the positive impacts occur in specific countries or regions; and\n (e) any material risks and opportunities for the undertaking arising from impacts and dependencies on value chain workers.",,semi-narrative
12,"Disclosure Requirement related to ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction with strategy and business model",,"In describing the main types of value chain workers who are or could be negatively affected, based on the materiality assessment set out in ESRS 2 IRO-1, the undertaking shall disclose whether and how it has developed an understanding of how workers with particular characteristics, those working in particular contexts, or those undertaking particular activities may be at greater risk of harm.",,narrative
13,"Disclosure Requirement related to ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction with strategy and business model",,"The undertaking shall disclose which, if any, of its material risks and opportunities arising from impacts and dependencies on its value chain workers relate to specific groups of value chain workers (for example, particular age groups, workers in a particular factory or country) rather than to all of the value chain workers.",,narrative
AR6,"Disclosure Requirement related to ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction with strategy and business model",Application Requirements,"Impacts on value chain workers can originate in the undertaking’s strategy or business model in a number of different ways. For example, impacts may relate to the undertaking’s value proposition (such as providing lowest cost products or services, or high-speed delivery, in ways that put pressure on labour rights in the upstream and downstream value chains), its value chain (such as relying on commodities of unclear provenance, without visibility on impacts on workers), or its cost structure and the revenue model (e.g. shifting inventory risk to suppliers, with knock-on effects on the labour rights of their workers).",,
AR7,"Disclosure Requirement related to ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction with strategy and business model",Application Requirements,"Impacts on value chain workers that originate in the strategy or the business model can also bring material risks to the undertaking. For example, in the context of a pandemic or other severe health crisis, undertakings that rely on contingent labour with little to no access to sick care and health benefits may face severe operational and business continuity risks as workers have no choice but to keep working while sick, further exacerbating the spread of the disease and causing major supply chain breakdowns. Another example is where selling goods premised on cheapest prices for customers create operational risks as suppliers under extreme price pressure may sub-contract production, leading to lower quality, and a longer, less transparent, and less controllable supply chain. Reputational and business opportunity risks linked to the exploitation of low-skilled, low-paid workers in sourcing geographies with minimal protections for them are also increasing with media backlash and consumer preferences moving to more ethically sourced or sustainable goods.",,
AR8,"Disclosure Requirement related to ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction with strategy and business model",Application Requirements,"Examples of particular characteristics of value chain workers that may be considered by the undertaking when responding to paragraph 12 relate to young workers that may be more susceptible to impacts on their physical and mental development, or women workers in a context where women are routinely discriminated against in the terms and conditions of work, or migrant workers in a context where the market for the supply of labour is poorly regulated and workers are routinely charged recruitment fees. For some workers, the inherent nature of the activity that they are required to undertake may put them at risk (e.g., workers required to handle chemicals or operate certain equipment or low paid workers who are on “zero hours” contracts).",,
AR9,"Disclosure Requirement related to ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction with strategy and business model",Application Requirements,"With regard to paragraph 13, material risks could also arise because of the undertaking’s dependency on value chain workers where low likelihood but high impact events may trigger financial effects; for example, where a global pandemic leads to severe health impacts on workers at all stages of the value chain resulting in major disruptions to production and distribution. Other examples of risk related to the undertaking’s dependency on value chain workers include a shortage in skilled workers or political decisions or legislation affecting value chain workers working for logistics providers. For example, if some workers in the undertaking’s value chain are at risk of forced labour, and the undertaking is importing products into countries where the law allows for the confiscation of imported goods that are suspected of being made with forced labour.",,
14,Disclosure Requirement S2-1 – Policies related to value chain workers,,"The undertaking shall describe its policies adopted to manage its material impacts on value chain workers, as well as associated material risks and opportunities.",,
15,Disclosure Requirement S2-1 – Policies related to value chain workers,,"The objective of this Disclosure Requirement is to enable an understanding of the extent to which the undertaking has policies that address the identification, assessment, management and/or remediation of material impacts on value chain workers specifically, as well as policies that cover material risks or opportunities related to value chain workers.",,
16,Disclosure Requirement S2-1 – Policies related to value chain workers,,"The disclosure required by paragraph 14 shall contain the information on the undertaking’s policies to manage its material impacts, risks and opportunities related to value chain workers in accordance with ESRS 2 MDR-P Policies adopted to manage material sustainability matters. In addition, the undertaking shall specify whether such policies cover specific groups of value chain workers or all value chain workers.",,MDR-P
17,Disclosure Requirement S2-1 – Policies related to value chain workers,,"The undertaking shall describe its human rights policy commitments2 that are relevant to value chain workers, including those processes and mechanisms to monitor compliance with the UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work or OECD Guidelines for Multinational Enterprises113. In its disclosure, it shall focus on those matters that are material in relation to, as well as the general approach to:\n (a) respect for the human rights, including labour rights, of workers;\n (b) engagement with value chain workers; and\n (c) measures to provide and/or enable remedy for human rights impacts.",,narrative
18,Disclosure Requirement S2-1 – Policies related to value chain workers,,"The undertaking shall state whether its policies in relation to value chain workers explicitly address trafficking in human beings114 , forced labour or compulsory labour and child labour. It shall also state whether the undertaking has a supplier code of conduct115",,semi-narrative
19,Disclosure Requirement S2-1 – Policies related to value chain workers,,"The undertaking shall disclose whether and how its policies with regard to value chain workers are aligned with internationally recognised instruments relevant to value chain workers, including the United Nations (UN) Guiding Principles on Business and Human Rights116. The undertaking shall also disclose the extent to which cases of non-respect of the UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work or OECD Guidelines for Multinational Enterprises that involve value chain workers have been reported in its upstream and downstream value chain and, if applicable, an indication of the nature of such cases117",,narrative
AR10,Disclosure Requirement S2-1 – Policies related to value chain workers,Application Requirements,"If the policies are limited to the undertaking’s own workforce and do not cover workers in upstream and downstream entities and relationships, they shall be disclosed under ESRS S1 and not in relation to this requirement.",,
AR11,Disclosure Requirement S2-1 – Policies related to value chain workers,Application Requirements,"If the disclosures under ESRS S1 include information relevant for workers in the value chain, a reference to this can be made here; disclosures on the remaining elements shall then be fulfilled under this Disclosure Requirement.",,
AR12,Disclosure Requirement S2-1 – Policies related to value chain workers,Application Requirements,"The undertaking may disclose explanations of significant changes to the policies adopted during the reporting year (e.g., new expectations for suppliers, new or additional approaches to due diligence and remedy).",,narrative
AR13,Disclosure Requirement S2-1 – Policies related to value chain workers,Application Requirements,"The policy may take the form of a stand-alone policy regarding value chain workers or be included in a broader document such as a code of ethics or a general sustainability policy that has already been disclosed by the undertaking as part of another ESRS. In those cases, the undertaking shall provide an accurate cross-reference to identify the aspects of the policy that satisfy the requirements of this Disclosure Requirement.",,
AR14,Disclosure Requirement S2-1 – Policies related to value chain workers,Application Requirements,"When disclosing the alignment of its policies with the UN Guiding Principles on Business and Human Rights, the undertaking shall consider that the Guiding Principles refer to the International Bill of Rights, which consist of the Universal Declaration of Human Rights and the two Covenants that implement it, as well as the International Labour Organisation’s Declaration on Fundamental Rights and Principles at Work and the core conventions that underpin it, and may disclose its alignment with these instruments.",,
AR15,Disclosure Requirement S2-1 – Policies related to value chain workers,Application Requirements,"When disclosing how external-facing policies are embedded, the undertaking may, for example, consider internal policies of responsible sourcing, and alignment with other policies relevant to value chain workers, for example, regarding forced labour. With regard to supplier codes of conduct that the undertaking may have, the summary shall indicate whether they include provisions addressing the safety of workers, precarious work (for example, the use of workers on short-term or limited hours contracts, workers employed via third parties, sub-contracting to third parties or use of informal workers), human trafficking, the use of forced labour or child labour, and whether such provisions are fully in line with applicable ILO standards.",,
AR16,Disclosure Requirement S2-1 – Policies related to value chain workers,Application Requirements,"The undertaking may provide an illustration of the types of communication of its policies to those individuals, group of individuals or entities for whom they are relevant, either because they are expected to implement them (for example, the undertaking’s employees, contractors and suppliers), or because they have a direct interest in their implementation (for example, own workers, investors). It may disclose communication tools and channels (for example, flyers, newsletters, dedicated websites, social media, face to face interactions, workers’ representatives), aimed at ensuring that the policy is accessible and that different audiences understand its implications. The undertaking may also explain how it identifies 12 and removes potential barriers for dissemination, such as through translation into relevant languages or the use of graphic depictions.",,
20,Disclosure Requirement S2-2 – Processes for engaging with value chain workers about impacts,,The undertaking shall disclose its general processes for engaging with value chain workers and their representatives about actual and potential impacts on them.,,
21,Disclosure Requirement S2-2 – Processes for engaging with value chain workers about impacts,,"The objective of this Disclosure Requirement is to enable an understanding of whether and how the undertaking engages, as part of its ongoing due diligence process, with value chain workers and their legitimate representatives, or with credible proxies, about material actual and potential positive and/or negative impacts that do or are likely to affect them, and whether and how perspectives of value chain workers are taken into account in the decision-making processes of the undertaking.",,
22,Disclosure Requirement S2-2 – Processes for engaging with value chain workers about impacts,,"The undertaking shall disclose whether and how the perspectives of value chain workers inform its decisions or activities aimed at managing the actual and potential impacts on value chain workers. This shall include, where relevant, an explanation of:\n (a) whether engagement occurs with value chain workers or their legitimate representatives directly, or with credible proxies that have insight into their situation;\n (b) whether engagement occurs with value chain workers or their legitimate representatives directly, or with credible proxies that have insight into their situation;\n (c) the function and the most senior role within the undertaking that has operational responsibility for ensuring that this engagement happens, and that the results inform the undertaking’s approach;\n (d) where applicable, Global Framework Agreements or for agreements that the undertaking has with global union federations related to respect of human rights of workers in the value chain, including their right to bargain collectively, and including an explanation of how the agreement enables the undertaking to gain insight into those workers’ perspectives; and\n (e) where applicable, how the undertaking assesses the effectiveness of its engagement with workers in the value chain, including, where relevant, any agreements or outcomes that result.",,narrative
23,Disclosure Requirement S2-2 – Processes for engaging with value chain workers about impacts,,"Where applicable, the undertaking shall disclose the steps it takes to gain insight into the perspectives of workers that may be particularly vulnerable to impacts and/or marginalised (for example, women workers, migrant workers, workers with disabilities).",,narrative
24,Disclosure Requirement S2-2 – Processes for engaging with value chain workers about impacts,,"If the undertaking cannot disclose the above required information because it has not adopted a general process to engage with workers in the value chain, it shall disclose this to be the case. It may disclose a timeframe in which it aims to have such a process in place.",,narrative
AR17,Disclosure Requirement S2-2 – Processes for engaging with value chain workers about impacts,Application Requirements,"When describing which function or role has operational responsibility for such engagement and/or ultimate accountability, the undertaking may disclose whether this is a dedicated role or function or part of a broader role or function, and whether any capacity building activities have been offered to support the staff to undertake engagement. If it cannot identify such a position or function, it may state that this is the case. This disclosure could also be fulfilled by making reference to information disclosed according to ESRS 2 GOV-1 The role of the administrative, management and supervisory bodies",,semi-narrative
AR18,Disclosure Requirement S2-2 – Processes for engaging with value chain workers about impacts,Application Requirements,"When preparing the disclosures described in paragraph 22 b) and c), the following illustrations may be considered:\n (a) examples of stages at which engagement occurs are i) determining the approach to mitigation and ii) evaluation the effectiveness of mitigation;\n (b) for type of engagement, these could be participation, consultation and/or information;\n (c) for the frequency of the engagement, information may be provided on whether engagement occurs on a regular basis, at certain points in a project or business process, for example, when a new harvest season begins or a new production line is opened, as well as whether it occurs in response to legal requirements and/or in response to stakeholder requests and whether the result of the engagement is being integrated into the undertaking's decision- making processes; and\n (d) for the role with operational responsibility, whether the undertaking requires relevant staff to have certain skills, or whether it provides training or capacity building to relevant staff to undertake engagement",,
AR19,Disclosure Requirement S2-2 – Processes for engaging with value chain workers about impacts,Application Requirements,Global Framework Agreements (GFA) serve to establish an ongoing relationship between a multinational enterprise and a Global Union Federation to ensure that the undertaking adheres to the same standards in every country in which it operates.,,
AR20,Disclosure Requirement S2-2 – Processes for engaging with value chain workers about impacts,Application Requirements,"To illustrate how the perspectives of value chain workers have informed specific decisions or activities of the undertaking, the undertaking may provide examples from the current reporting period.",,
25,Disclosure Requirement S2-3 – Processes to remediate negative impacts and channels for value chain workers to raise concerns,,"The undertaking shall describe the processes it has in place to provide for or cooperate in the remediation of negative impacts on value chain workers that the undertaking is connected with, as well as channels available to value chain workers to raise concerns and have them addressed.",,
26,Disclosure Requirement S2-3 – Processes to remediate negative impacts and channels for value chain workers to raise concerns,,"The objective of this Disclosure Requirement is to enable an understanding of the formal means by which value chain workers can make their concerns and needs known directly to the undertaking and/or through which the undertaking supports the availability of such channels (for example, grievance mechanisms ) in the workplace of value chain workers, how follow up is carried out with these workers regarding the issues raised, and the effectiveness of these channels.",,
27,Disclosure Requirement S2-3 – Processes to remediate negative impacts and channels for value chain workers to raise concerns,,"The undertaking shall describe:\n (a) its general approach to and processes for providing or contributing to remedy where it has caused or contributed to a material negative impact on value chain workers, including whether and how the undertaking assesses that the remedy provided is effective;\n (b) any specific channels it has in place for value chain workers to raise their concerns or needs directly with the undertaking and have them addressed, including whether these are established by the undertaking itself and/or whether they are third-party mechanisms;\n (c) the processes through which it supports or requires the availability of such channels in the workplace of value chain workers; and\n (d) how it tracks and monitors issues raised and addressed, and how it ensures the effectiveness of the channels, including through involvement of stakeholders who are the intended users.",,narrative
28,Disclosure Requirement S2-3 – Processes to remediate negative impacts and channels for value chain workers to raise concerns,,"The undertaking shall disclose whether and how it assesses that value chain workers are aware of and trust these structures or processes as a way to raise their concerns or needs and have them addressed. In addition, the undertaking shall disclose whether it has policies in place regarding the protection of individuals that use them against retaliation. If such information has been disclosed in accordance with ESRS G1-1, the undertaking may refer to that information.",,narrative
29,Disclosure Requirement S2-3 – Processes to remediate negative impacts and channels for value chain workers to raise concerns,,"If the undertaking cannot disclose the above required information because it has not adopted a channel for raising concerns and/or does not support the availability of such a channel in the workplace of value chain workers, it shall disclose this to be the case. It may disclose a timeframe in which it aims to have such a channel or processes in place.",,narrative
AR21,Disclosure Requirement S2-3 – Processes to remediate negative impacts and channels for value chain workers to raise concerns,Application Requirements,"In fulfilling the requirements set out by Disclosure Requirement ESRS S2-3, the undertaking may be guided by the content of the UN Guiding Principles on Business and Human Rights and the OECD Guidelines for Multinational Enterprises focused on remediation and grievance mechanisms.",,
AR22,Disclosure Requirement S2-3 – Processes to remediate negative impacts and channels for value chain workers to raise concerns,Application Requirements,"Channels for raising concerns or needs include grievance mechanisms, hotlines, trade unions (where workers are unionised), dialogue processes or other means through which value chain workers or their legitimate representatives can raise concerns about impacts or explain needs that they would like the undertaking to address. This could include both channels provided by the undertaking directly and channels provided by the entities where the value chain workers are working, in addition to any other mechanisms the undertaking may use to gain insight into the management of impacts on workers, such as compliance audits. Where the undertaking is relying solely on information about the existence of such 13 channels provided by its business relationships to answer this requirement, it may state that.",,
AR23,Disclosure Requirement S2-3 – Processes to remediate negative impacts and channels for value chain workers to raise concerns,Application Requirements,"To provide greater insight into the information covered in Disclosure Requirement ESRS S2- 3, the undertaking may explain whether and how value chain workers that may be affected are able to access channels at the level of the undertaking they are employed by, or contracted to work for, in relation to each material impact.",,
AR24,Disclosure Requirement S2-3 – Processes to remediate negative impacts and channels for value chain workers to raise concerns,Application Requirements,"Third party mechanisms could include those operated by the government, NGOs, industry associations and other collaborative initiatives. The undertaking may disclose whether these are accessible to all workers who may be potentially or actually materially impacted by the undertaking, or individuals or organisations acting on their behalf or who are otherwise in a position to be aware of negative impacts.",,
AR25,Disclosure Requirement S2-3 – Processes to remediate negative impacts and channels for value chain workers to raise concerns,Application Requirements,"In relation to the protection of individuals that use the mechanisms against the retaliation, the undertaking may describe whether it treats grievances confidentially and with respect to the rights of privacy and data protection; and whether the mechanisms allow for workers to use them anonymously (for example, through representation by a third party).",,semi-narrative
AR26,Disclosure Requirement S2-3 – Processes to remediate negative impacts and channels for value chain workers to raise concerns,Application Requirements,"In disclosing whether and how the undertaking knows that value chain workers are aware of and trust any of these channels, the undertaking may provide relevant and reliable data about the effectiveness of these channels from the perspective of value chain workers themselves. Examples of sources of information are surveys of workers that have used such channels and their levels of satisfaction with the process and outcomes.",,
AR27,Disclosure Requirement S2-3 – Processes to remediate negative impacts and channels for value chain workers to raise concerns,Application Requirements,"In describing the effectiveness of channels for value chain workers to raise concerns, the undertaking may be guided by the following questions, based on the “effectiveness criteria for non-judicial grievance mechanisms”, as laid out in the UN Guiding Principles on Business and Human Rights, in particular Principle 31. The below considerations may be applied to individual channels or to a collective system of channels:\n (a) do the channels hold legitimacy by providing appropriate accountability for their fair conduct and building stakeholder trust?\n (b) are the channels known and accessible to stakeholders?\n (c) do the channels have clear and known procedures, with indicative timeframes?\n (d) do the channels ensure reasonable access for stakeholders to sources of information, advice and expertise?\n (e) do the channels offer transparency by providing sufficient information both to complainants and, where applicable, to meet any public interest?\n (f) do outcomes achieved through the channels accord with internationally recognised human rights?\n (g) does the undertaking identify insights from the channels that support continuous learning in both improving the channels and preventing future impacts?\n (h) does the undertaking focus on dialogue with complainants as the means to reach agreed solutions, rather than seeking to unilaterally determine the outcome?",,
30,"Disclosure Requirement S2-4 – Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value chain workers, and effectiveness of those actions",,"The undertaking shall disclose how it takes action to address material impacts on value chain workers, and to manage material risks and pursue material opportunities related to value chain workers and the effectiveness of those actions.",,
31,"Disclosure Requirement S2-4 – Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value chain workers, and effectiveness of those actions",,"The objective of this Disclosure Requirement is twofold. Firstly, it is to enable an understanding of any actions or initiatives through which the undertaking seeks to:\n (a) prevent, mitigate and remediate the negative material impacts on value chain workers; and/or\n (b) achieve positive material impacts for value chain workers. Secondly, it is to enable an understanding of the ways in which the undertaking is addressing the material risks and pursuing the material opportunities related to workers in the value chain. The undertaking shall provide a summarised description of the action plans and resources to manage its material impacts, risks, and opportunities related to value chain workers as per ESRS 2 MDR-A Actions and resources in relation to material sustainability matters.",,
32,"Disclosure Requirement S2-4 – Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value chain workers, and effectiveness of those actions",,"In relation to material impacts, the undertaking shall describe:\n (a) actions taken, planned or underway to prevent or mitigate material negative impacts on value chain workers\n (b) whether and how it has taken action to provide or enable remedy in relation to an actual material impact;\n (c) any additional actions or initiatives it has in place with the primary purpose of delivering positive impacts for value chain workers; and\n (d) how it tracks and assesses the effectiveness of such actions and initiatives in delivering intended outcomes for value chain workers.",,narrative
33,"Disclosure Requirement S2-4 – Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value chain workers, and effectiveness of those actions",,"In relation to paragraph 30, the undertaking shall describe:\n (a) the processes through which it identifies what action is needed and appropriate in response to a particular actual or potential negative impact on value chain workers;\n (b) its approach to taking action in relation to specific material negative impacts on value chain workers, including any action in relation to its own purchasing or other internal practices, as well as capacity- building or other forms of engagement with entities in the value chain, or forms of collaborative action with industry peers or other relevant parties; and\n (c) how it ensures that processes to provide or enable remedy in the event of material negative impacts are available and effective in their implementation and outcomes.",,narrative
34,"Disclosure Requirement S2-4 – Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value chain workers, and effectiveness of those actions",,"In relation to material risks and opportunities, the undertaking shall describe:\n (a) what action is planned or underway to mitigate material risks for the undertaking arising from its impacts and dependencies on value chain workers and how it tracks effectiveness in practice; and\n (b) what action is planned or underway to pursue material opportunities for the undertaking in relation to value chain workers.",,narrative
35,"Disclosure Requirement S2-4 – Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value chain workers, and effectiveness of those actions",,"The undertaking shall disclose whether and how it takes action to avoid causing or contributing to material negative impacts on value chain workers through its own practices, including, where relevant, in relation to procurement, sales and data use. This may include disclosing what approach is taken when tensions arise between the prevention or mitigation of material negative impacts and other business pressures.",,narrative
36,"Disclosure Requirement S2-4 – Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value chain workers, and effectiveness of those actions",,"The undertaking shall also disclose whether severe human rights issues and incidents connected to its upstream and downstream value chain have been reported and, if applicable, disclose these3 .",,narrative
37,"Disclosure Requirement S2-4 – Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value chain workers, and effectiveness of those actions",,"When disclosing the information required under paragraph 32 (c), the undertaking shall consider ESRS 2 (see ESRS 2 MDR-T Tracking effectiveness of policies and actions through targets) if it evaluates the effectiveness of an action by setting a target.",,
38,"Disclosure Requirement S2-4 – Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value chain workers, and effectiveness of those actions",,"The undertaking shall disclose what resources are allocated to the management of its material impacts, with information that enables users to gain an understanding of how the material impacts are managed.",,narrative
AR28,"Disclosure Requirement S2-4 – Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value chain workers, and effectiveness of those actions",Application Requirements,"It may take time to understand negative impacts and how the undertaking may be involved with them through its value chain, as well as to identify appropriate responses and put them into practice. Therefore, the undertaking shall consider:\n (a) its general and specific approaches to addressing material negative impacts;\n (b) its initiatives aimed at contributing to additional material positive impacts;\n (c) how far it has progressed in its efforts during the reporting period; and (d) its aims for continued improvement.",,narrative
AR29,"Disclosure Requirement S2-4 – Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value chain workers, and effectiveness of those actions",Application Requirements,"Appropriate action can vary according to whether the undertaking causes or contributes to a material impact or whether the material impact is directly linked to its own operations, products or services through a business relationship.",,
